Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,200825_Std_250nMStdsInH2O_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,16.03,884005,0,31358,0.2,Standards_pos
Standards_pos,200825_Std_250nMStdsInH2O_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,15.86,175821,0,9014,0.7,Standards_pos
Standards_pos,200825_Std_250nMStdsInMatrix_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,16.01,1042527,0,39941,0.4,Standards_pos
Standards_pos,200825_Std_250nMStdsInMatrix_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,15.73,1554143,0,60309,0.6,Standards_pos
Standards_pos,200825_Std_H2OinMatrix_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.9,0,0,0,#N/A,Standards_pos
Standards_pos,200825_Std_H2OinMatrix_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,15.61,667,0,1404,-1.6,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Full1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.89,1064,0,2660,-1.8,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Full2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Full3,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Full4,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Half1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.88,1284,0,2391,5.4,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Half2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.5,984,0,2465,-0.8,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Half3,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Poo_TruePooAnt18_Half4,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlk20_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,13.24,1542,0,4228,12.8,Standards_pos
Standards_pos,200825_Blk_FilterBlk35_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlk50_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB2_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB2_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB2_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB3_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB3_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.32,1040,0,1833,3.6,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB3_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB5_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB5_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWB5_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Blk_FilterBlkFSWEvX_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.01,1002,0,2592,1.6,Standards_pos
Standards_pos,200825_Smp_20ppt3C_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,14.91,970,0,1591,-9.6,Standards_pos
Standards_pos,200825_Smp_20ppt3C_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,13.67,1422,0,2657,-6.1,Standards_pos
Standards_pos,200825_Smp_20ppt3C_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_35ppt0C_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_35ppt0C_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_35ppt0C_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_50ppt-3C_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_50ppt-3C_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_50ppt-3C_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200825_Smp_Ev15SW_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
