Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_pos,200821_Std_4uMStdsMix1InH2O_1,Acetyl-L-carnitine,7.67,2000624640,24318920,102473592,-2.9,Standards_pos
Standards_pos,200821_Std_4uMStdsMix1InH2O_2,Acetyl-L-carnitine,7.81,2494875392,39061024,129051864,-2.5,Standards_pos
Standards_pos,200821_Std_4uMStdsMix1InMatrix_1,Acetyl-L-carnitine,7.65,1567408128,13590057,82342264,-2.6,Standards_pos
Standards_pos,200821_Std_4uMStdsMix1InMatrix_2,Acetyl-L-carnitine,7.81,2480501760,36326056,133692888,-1.8,Standards_pos
Standards_pos,200821_Std_4uMStdsMix2InH2O_1,Acetyl-L-carnitine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200821_Std_4uMStdsMix2InH2O_2,Acetyl-L-carnitine,#N/A,#N/A,#N/A,#N/A,#N/A,Standards_pos
Standards_pos,200821_Std_4uMStdsMix2InMatrix_1,Acetyl-L-carnitine,7.68,57928492,2162911,3039439,-2.4,Standards_pos
Standards_pos,200821_Std_4uMStdsMix2InMatrix_2,Acetyl-L-carnitine,7.81,54567808,1630311,2831224,-1,Standards_pos
Standards_pos,200821_Std_H2OinMatrix_1,Acetyl-L-carnitine,7.66,51580624,1237163,2645203,-2.3,Standards_pos
Standards_pos,200821_Std_H2OinMatrix_2,Acetyl-L-carnitine,7.83,51601148,1062622,2789599,-1.4,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Full1,Acetyl-L-carnitine,7.67,87921192,918489,4511817,-2.4,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Full2,Acetyl-L-carnitine,7.7,83609056,1093486,4355819,-2.4,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Full3,Acetyl-L-carnitine,7.77,88712448,950459,4683302,-1.9,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Full3a,Acetyl-L-carnitine,7.77,90036480,952388,4670920,-1.4,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Full4,Acetyl-L-carnitine,7.84,87572000,2620691,4588963,-0.3,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Half1,Acetyl-L-carnitine,7.65,49222988,988874,2663209,-2.5,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Half2,Acetyl-L-carnitine,7.76,44988316,700954,2341753,-2.7,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Half3,Acetyl-L-carnitine,7.77,44848616,399856,2531165,-1.4,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Half3a,Acetyl-L-carnitine,7.76,51695824,482613,2657124,-1.5,Standards_pos
Standards_pos,200821_Poo_TruePooAnt18_Half4,Acetyl-L-carnitine,7.8,46476548,1763748,2306455,-0.8,Standards_pos
Standards_pos,200821_Blk_FilterBlk20_A,Acetyl-L-carnitine,7.4,535509,330177,56452,-0.4,Standards_pos
Standards_pos,200821_Blk_FilterBlk35_A,Acetyl-L-carnitine,7.7,340704,186509,53132,2.3,Standards_pos
Standards_pos,200821_Blk_FilterBlk50_A,Acetyl-L-carnitine,7.69,276088,260956,37202,4.4,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB2_A,Acetyl-L-carnitine,7.49,114000,355156,10024,1.2,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB2_B,Acetyl-L-carnitine,7.26,277608,310767,61431,2.7,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB2_C,Acetyl-L-carnitine,7.56,281473,221272,29616,3.1,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB3_A,Acetyl-L-carnitine,7.81,326088,504875,33617,4.1,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB3_B,Acetyl-L-carnitine,7.61,455131,443592,50404,3,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB3_C,Acetyl-L-carnitine,7.68,193382,437293,48435,3.4,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB5_A,Acetyl-L-carnitine,7.35,471046,516255,49073,2.5,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB5_B,Acetyl-L-carnitine,7.8,187031,539177,114694,4,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWB5_C,Acetyl-L-carnitine,7.8,74441,433910,20791,0.6,Standards_pos
Standards_pos,200821_Blk_FilterBlkFSWEvX_A,Acetyl-L-carnitine,7.59,241381,290151,35348,2.3,Standards_pos
