"","Proline","Glucosylglycerol","Glutamic acid","Glutamine","Alanine","N-Acetyl-Serine","Glycerophosphocholine","Arginine","Taurine","Aspartic acid","Isethionic Acid","Hypotaurine","DHPS","Betaine","Gonyol","DMSP","Lysine","Threonic acid","Phenylalanine","Asparagine"
"20ppt3C_A",0.007716454,0.140095477,0.043447936,0.11416918,0.041663375,0.037129498,0.044033361,0.061186836,0.005855903,0.045766041,0.041322729,0.004273192,0.022115199,0.005977712,0.00351173,0.000587,0.032824528,0.013586084,0.017107025,0.028862523
"20ppt3C_B",0.008058452,0.095081495,0.032796061,0.095970891,0.045221529,0.084771869,0.038515238,0.079823373,0.007397289,0.054797762,0.043400048,0.005762423,0.021403886,0.006357588,0.003118861,0.000551,0.055539563,0.010989446,0.016143281,0.023993045
"20ppt3C_C",0.008851369,0.098193902,0.025949044,0.098804699,0.041828742,0.066868907,0.035571521,0.180863693,0.005635894,0.035109556,0.031172658,0.005142244,0.01543842,0.004868722,0.002607537,0.000982,0.101830083,0.008031479,0.012541119,0.022760145
"35ppt0C_A",0.096517719,0.121837843,0.049892997,0.095295085,0.100128862,0.022782144,0.034143639,0.04233725,0.019905198,0.024260882,0.030961555,0.010151065,0.016471539,0.009628176,0.002366449,0.005191797,0.03869463,0.013749108,0.013193983,0.023207088
"35ppt0C_B",0.097955272,0.168785182,0.057167601,0.095502853,0.111291763,0.014372936,0.038748236,0.025377829,0.018690755,0.03173418,0.024664591,0.009855052,0.017212057,0.00976573,0.003343965,0.00690661,0.024516789,0.010347667,0.015287406,0.024285747
"35ppt0C_C",0.098556309,0.078195397,0.064975497,0.105411288,0.134948386,0.026452534,0.031198632,0.024698545,0.017067768,0.025686254,0.019931281,0.00385261,0.022817396,0.008216804,0.002458111,0.00277034,0.026768655,0.011567,0.014185115,0.030391362
"50ppt-3C_A",0.28639921,0.040307534,0.061562154,0.141935731,0.058445459,0.009307401,0.014938054,0.015723694,0.02444714,0.011750393,0.027183778,0.038580971,0.009081021,0.024256479,0.001863568,0.048112926,0.010361289,0.005763548,0.013124133,0.00918502
"50ppt-3C_B",0.268349057,0.038471495,0.061958961,0.14563586,0.051790231,0.007625688,0.01563958,0.03198571,0.024438362,0.010563782,0.028896146,0.037068956,0.007651952,0.020936217,0.002065046,0.052693006,0.014734851,0.006543918,0.012155212,0.010094101
"50ppt-3C_C",0.271319421,0.038394536,0.057399477,0.154646821,0.06621882,0.006353901,0.01689273,0.019694699,0.021674137,0.012756565,0.023869745,0.02524344,0.016737826,0.027623377,0.002034234,0.038127197,0.012722334,0.005313656,0.014412714,0.011093367
"Ev32Core_A",0.011898171,0.051962014,0.042449356,0.026521157,0.029560737,0.018269204,0.010712308,0.046196714,0.012834717,0.033389752,0.022952712,0.03550442,0.030170741,0.037371474,0.027997704,0.007818396,0.026873228,0.008779269,0.024851279,0.006948918
"Ev32Core_B",0.02033872,0.073253189,0.051394454,0.027742451,0.017107293,0.04905588,0.010718897,0.040787384,0.015802022,0.034175158,0.040202384,0.048026051,0.040277926,0.046972349,0.105587363,0.014090388,0.014721765,0.008857726,0.009431238,0.005559606
"Ev32Core_C",0.012195815,0.104446577,0.059211546,0.031693464,0.015358505,0.024567114,0.017104709,0.061928167,0.024856013,0.02724822,0.045970901,0.045696839,0.018684573,0.040267102,0.077521154,0.019270268,0.015127645,0.013811422,0.008063274,0.006497608
"EvXCore_A",0.014065791,0.074356148,0.042332892,0.025459651,0.023736409,0.060216277,0.011631363,0.028159382,0.019917272,0.032674403,0.028973601,0.067868297,0.03334906,0.038482552,0.048565928,0.038496887,0.017073106,0.00633961,0.022948026,0.006649372
"Hero1_A",0.033708296,0.02798836,0.042823056,0.027235833,0.0117653,0.228547052,0.00242753,0.024118024,0.001771639,0.033759261,0.002341155,0.013390456,0.016744513,0.02194528,0.039134418,0.049840817,0.019366531,0.002500309,0.004563723,0.010688696
"Hero1_B",0.046369517,0.07094349,0.071358043,0.044476336,0.020471536,0.126314758,0.007029379,0.080177844,0.003728444,0.042718677,0.005137515,0.029506371,0.03197319,0.026712207,0.041035281,0.070743746,0.004295374,0.005331664,0.007351369,0.004648283
"Hero1_C",0.039092669,0.063852404,0.070357563,0.038660309,0.016315354,0.130426348,0.007118716,0.066054629,0.004096499,0.050186705,0.005434879,0.032888079,0.032087631,0.034134701,0.065318488,0.06533255,0.003709578,0.004912096,0.00546586,0.003869551
"StaB1_A",0.101097271,0.107922276,0.06942171,0.06880125,0.058006611,0.024183343,0.042940094,0.026994936,0.047620582,0.019906156,0.035349813,0.02983354,0.013232887,0.018399385,0.010794873,0.001904075,0.01455593,0.019719035,0.0165609,0.008270133
"StaB1_B",0.114305802,0.09561982,0.059744275,0.069532491,0.071436021,0.026937867,0.034578255,0.013988679,0.050146828,0.021595828,0.037087823,0.022630709,0.012960442,0.019457841,0.014858337,0.003262024,0.012665344,0.014216632,0.019250253,0.008475893
"StaB1_C",0.122174085,0.078894154,0.087061735,0.075249549,0.072835788,0.024165549,0.039396473,0.009760951,0.052007559,0.018509058,0.035099837,0.032180205,0.011822027,0.02422101,0.015442148,0.008662979,0.007364417,0.014157837,0.019471087,0.008479384
"StaB1_D",0.106595925,0.057331575,0.084793757,0.050984515,0.044895592,0.056131213,0.040638613,0.016733675,0.051144177,0.030068422,0.044041534,0.041447793,0.011186623,0.022951757,0.016569348,0.014612467,0.001601111,0.016744759,0.010758665,0.008671523
"StaB1_E",0.134197631,0.060589341,0.085691112,0.057171508,0.060646955,0.040373575,0.031401219,0.008158007,0.053667632,0.027234482,0.045763887,0.03811555,0.01697646,0.022641591,0.010225874,0.017693215,0.002393981,0.015391364,0.013283441,0.009199059
