X1,X,Precursor.Ion.Name,Retention.Time,Area,Background,Height,Mass.Error.PPM,SNFlag,ppmFlag,areaminFlag,RT_ref,RT_max,RT_min,RTFlag,Blank.Area,BlankFlag,Flags,QC_area,Reps_Present,ReplicateFlag,Samps_Present,Replicate.Name,SampleFlag,SmpFlag,CmpFlag,Filled_area,Backfill_Flag
1777,3064,Aconitic Acid,15.08,224623104,0,13427116,-1.2,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,224623104,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,224623104,NA
1778,3065,Aconitic Acid,14.83,174236992,0,8692450,-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,174236992,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,174236992,NA
1779,3066,Aconitic Acid,15.16,186069488,0,11121523,-1.4,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,186069488,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,186069488,NA
1780,3067,Aconitic Acid,14.93,241153376,296834,12029445,-0.8,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,241153376,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,241153376,NA
1781,3068,Aconitic Acid,NA,NA,NA,NA,NA,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,NA,NA
1782,3069,Aconitic Acid,NA,NA,NA,NA,NA,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,NA,NA
1783,3070,Aconitic Acid,15.24,3766906,0,134346,-1,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,3766906,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,3766906,NA
1784,3071,Aconitic Acid,15.01,1425659,0,57834,-0.3,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,1425659,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,1425659,NA
1785,3072,Aconitic Acid,15.13,1680023,0,73519,-0.8,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,1680023,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,1680023,NA
1786,3073,Aconitic Acid,14.95,444175,0,31198,-0.2,NA,NA,NA,15.04125,15.24,14.83,NA,NA,NA,NA,444175,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,444175,NA
1810,3097,ADP,NA,NA,NA,NA,NA,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
1811,3098,ADP,NA,NA,NA,NA,NA,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1812,3099,ADP,12.96,547759,0,28200,1.2,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,547759,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,547759,NA
1813,3100,ADP,13.33,54301,0,10444,0.8,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,54301,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,54301,NA
1814,3101,ADP,12.89,10912477,0,377130,2,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,10912477,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,10912477,NA
1815,3102,ADP,12.97,5335960,0,187444,2.5,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,5335960,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,5335960,NA
1816,3103,ADP,12.97,8980457,0,259042,2,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,8980457,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,8980457,NA
1817,3104,ADP,13.03,4817169,0,159917,2.7,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,4817169,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,4817169,NA
