X1,X,Precursor.Ion.Name,Retention.Time,Area,Background,Height,Mass.Error.PPM,SNFlag,ppmFlag,areaminFlag,RT_ref,RT_max,RT_min,RTFlag,Blank.Area,BlankFlag,Flags,QC_area,Reps_Present,ReplicateFlag,Samps_Present,Replicate.Name,SampleFlag,SmpFlag,CmpFlag,Filled_area,Backfill_Flag
3146,4071,Acetyl-L-carnitine,7.67,2000624640,24318920,102473592,-2.9,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,2000624640,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,2000624640,NA
3147,4072,Acetyl-L-carnitine,7.81,2494875392,39061024,129051864,-2.5,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,2494875392,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,2494875392,NA
3148,4073,Acetyl-L-carnitine,7.65,1567408128,13590057,82342264,-2.6,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,1567408128,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,1567408128,NA
3149,4074,Acetyl-L-carnitine,7.81,2480501760,36326056,133692888,-1.8,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,2480501760,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,2480501760,NA
3150,4075,Acetyl-L-carnitine,NA,NA,NA,#N/A,NA,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,NA,NA
3151,4076,Acetyl-L-carnitine,NA,NA,NA,#N/A,NA,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,NA,NA
3152,4077,Acetyl-L-carnitine,7.68,57928492,2162911,3039439,-2.4,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,57928492,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,57928492,NA
3153,4078,Acetyl-L-carnitine,7.81,54567808,1630311,2831224,-1,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,54567808,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,54567808,NA
3154,4079,Acetyl-L-carnitine,7.66,51580624,1237163,2645203,-2.3,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,51580624,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,51580624,NA
3155,4080,Acetyl-L-carnitine,7.83,51601148,1062622,2789599,-1.4,NA,NA,NA,7.74,7.83,7.65,NA,NA,NA,NA,51601148,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,51601148,NA
3179,4104,Adenine,5.06,2187475968,16073009,106385136,-4.3,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,2187475968,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,2187475968,NA
3180,4105,Adenine,5.14,2508165376,24331392,116766856,-3.8,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,2508165376,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,2508165376,NA
3181,4106,Adenine,5.04,1966080768,49119316,100263688,-4.3,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,1966080768,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,1966080768,NA
3182,4107,Adenine,5.19,2630908160,41774680,125492440,-3.8,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,2630908160,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,2630908160,NA
3183,4108,Adenine,NA,NA,NA,#N/A,NA,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,NA,NA
3184,4109,Adenine,NA,NA,NA,#N/A,NA,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,NA,NA
3185,4110,Adenine,5.01,365185344,27233234,15637921,-4.2,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,365185344,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,365185344,NA
3186,4111,Adenine,5.17,404730304,18381456,15427051,-2.9,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,404730304,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,404730304,NA
3187,4112,Adenine,5.06,187462320,6180414,9609771,-4.2,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,187462320,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,187462320,NA
3188,4113,Adenine,5.17,225753008,7537151,11121141,-3.3,NA,NA,NA,5.105,5.19,5.01,NA,NA,NA,NA,225753008,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,225753008,NA
3212,4137,Adenosine,NA,NA,NA,#N/A,NA,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
3213,4138,Adenosine,NA,NA,NA,#N/A,NA,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
3214,4139,Adenosine,4.8,258111536,2729852,9112197,-2.2,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,258111536,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,258111536,NA
3215,4140,Adenosine,4.95,195350064,1731572,7666611,-1.5,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,195350064,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,195350064,NA
3216,4141,Adenosine,4.83,1259949696,16179111,44387452,-3.1,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,1259949696,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,1259949696,NA
3217,4142,Adenosine,4.95,1393421696,17941920,47088428,-1.8,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,1393421696,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,1393421696,NA
3218,4143,Adenosine,4.78,1278383360,15931723,43619624,-2.9,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,1278383360,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,1278383360,NA
3219,4144,Adenosine,4.94,1563004928,19584242,55629600,-1.8,NA,NA,NA,4.88625,4.98,4.78,NA,NA,NA,NA,1563004928,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,1563004928,NA
