"","Full compound name","Meltwater_A","Meltwater_B","Meltwater_C","Meltwater_T-S_A","Meltwater_T-S_B","Meltwater_T-S_C","Sea ice_1_A","Sea ice_1_B","Sea ice_1_C","Sea ice_2","Sea ice_T-S_A","Sea ice_T-S_B","Sea ice_T-S_C","SW_08_A","SW_08_B","SW_08_C","SW_12_A","SW_12_B","SW_12_C","SW_15_A","SW_15_B","SW_15_C","SW_17_A","SW_17_B","SW_17_C","SW_19_A","SW_19_B","SW_19_C","SW_T-S_A","SW_T-S_B","SW_T-S_C"
"1","Acetylglutamic acid",0.140956935357066,0.0755048115678794,0.0642222664890628,0.051487739777049,0.0619267367089286,0.0807879724819304,0.282950746116537,0.127845175125351,0.119482648394278,0.69071067637289,0.0972436607043478,0.0853333777083419,0.0791729958170096,0.120026157238099,0.098166535526609,0.183624405944729,0.280293430608033,0.148105248819626,0.246713322130781,0.249212515012396,0.30516237212992,0.361539560520851,0.446235019458298,0.418892749703673,0.516851844638453,0.370084708800882,0.339545782837567,0.407250113502664,0.908413570991083,0.955428270677932,1.35140347766599
"2","Aconitic Acid",0.0261160817721318,0.0171349857780955,0.0185629012596034,0.129406874134342,0.22969932851439,0.0567823113062724,0.499705380315628,0.14803135159322,0.118693570303153,0.171283272519835,0.0424658901691486,0.0658770974073265,0.062464833656856,0.0320258358775853,0.00573762402569561,0.0132670532694032,0.00841518190435356,0.00688514883083473,0.00996534699199764,0.0500116947982863,0.0184389817299534,0.0320283090673627,0.0193648349008304,0.0193648349008304,0.0156453696607319,0.0246715444650003,0.0223116576031307,0.0171056041624002,0.31184179558391,0.109231301273675,0.186900590912787
"3","ADP",0.000317578556775803,0.000208366021413988,0.00022572985653182,0.50357148201272,2.36490020149062,0.000383740756104095,0.582518467766016,1.05960800019999,0.291259233883008,0.23488647893791,0.975849254220385,5.8330407772084,2.84499256723478,0.0484486321188894,6.97710465643808e-05,7.67481512208189e-05,0.000102330868294425,8.3725255877257e-05,0.000121181291401293,0.000104656569846571,0.00011286492826591,0.000109901887189717,0.209207930220663,0.209207930220663,0.169024699720962,0.266538949559979,0.241043919602068,0.184800338361585,0.000371362022036221,0.000371362022036221,0.00029518519700315
"4","Amino Propanesulfonic Acid",0.00512858656276972,0.00336490973575389,0.00364531888040004,1.96818970230581e-05,1.90469971190885e-05,1.96818970230581e-05,4.72365528553395e-05,2.36182764276698e-05,2.36182764276698e-05,1.90469971190885e-05,2.68389504859884e-05,2.03605831273015e-05,2.36182764276698e-05,0.00119942750258324,0.0011267349266691,0.00123940841933601,0.00165254455911468,0.00135208191200292,0.0019569606621095,5.36779009719767e-06,5.78879324207592e-06,5.63682014980185e-06,8.91255714251689e-06,8.91255714251689e-06,7.20069403282615e-06,1.13549405902258e-05,1.02688158381173e-05,7.87275880922325e-06,0.0634630706410334,0.0744400455507353,0.116282010205098
"5","AMP",0.804536763343216,0.853375987124057,0.980493420620379,21.423414892056,26.4777549660743,36.080838136158,295.314540290221,29.4346866502029,25.8215459693646,41.3110518163364,7.33030954904581,8.87351173346918,9.8315081544867,1.84951719854716,2.0174545790182,2.77856741786001,9.29873987393613,4.63026966982968,8.50291953367087,7.29415459635449,5.248115506796,7.41599436958848,15.1337776885349,16.4384829608974,12.9064291473535,8.46675821135017,6.38110580024306,8.80825546116863,70.9648720902584,43.5408123435993,41.597709947893
"6","cAMP",9.24577359524566e-06,6.06623154439195e-06,6.57175083975795e-06,1.93290162645694,1.59879199487261,0.218211155303423,0.282193399463515,1.34063717131062e-05,1.34063717131062e-05,0.116085232084282,1.5234513310348e-05,1.15572169940571e-05,1.34063717131062e-05,0.0157867378803088,0.0441301193963512,2.2343952855177e-06,0.0128445553625156,0.0527196061281596,0.0164296849340395,0.0350408126580515,0.0923139426449013,0.0856143376083373,0.123153561240854,0.028939854011304,0.0566135136941524,0.147156972720215,0.334433949829404,0.186027171394307,0.159835845010995,0.640818080932422,0.890862767608451
"7","cGMP",0.033758700087182,0.0221493733603683,0.0239951544737323,1.22340170779814,0.980632980979042,0.225780959338693,0.476618215690599,7.00007366525768e-05,7.00007366525768e-05,0.114348461410263,7.95462916506555e-05,6.03454626315318e-05,7.00007366525768e-05,0.0155594701916585,0.0324102350084209,0.00815835252106898,0.0108778033614253,0.00890002093207526,0.0128816092437931,0.0296214480848711,0.0319446989150571,0.0311060552681224,0.0255357404234136,0.0255357404234136,0.0206310097933067,0.0325335154432913,0.0934500703781033,0.0569889997235958,0.137313219208867,0.297942328943739,0.444808014269357
"8","Citric Acid",7.3671617432742,4.83365815735185,5.23646300379784,18.7264882266046,31.5916509713107,9.66200263830265,50.5794928285338,11.2804064104535,16.4150832822806,11.6208905758336,3.45618856659036,2.6219361539651,3.04144593859951,1.7229652464109,1.61854311026479,1.78039742129126,2.37386322838835,1.94225173231774,2.81115382309147,9.72046124106148,1.5955480656587,3.79997653778112,1.78124014820057,11.894525901526,1.95131329955496,1.66080920850134,1.59301181416653,14.4230357828837,62.8831317857076,9.92299663235899,22.2991134639811
"9","Cysteic Acid",0.752599754362419,1.45525309749989,1.62513379228761,1.49059146810199,1.49185115251797,1.04091534661788,21.155296293422,7.54371314233527,2.80619738612901,10.1770669902225,0.219042398566703,0.177812180190117,0.234252326541866,0.116974015138943,0.107315094937359,0.117804087590095,0.156085197097928,0.106900162701799,0.158694064945624,0.219803960069097,0.259269669005644,0.26195704519601,0.417614843160365,0.364751685531394,0.3672337930482,0.446622665886805,0.484431215012624,0.447894634873492,0.667442251855634,0.589706010543994,0.576027350796464
"10","Cysteinesulfinic acid",2.31477604371535e-05,1.51874446307116e-05,1.64530650166042e-05,0.133917452179678,0.0461013130309942,2.79702105282272e-05,0.423075390594807,0.248910819320168,0.275241975511441,0.106139640609291,3.81411961748553e-05,0.0902878395851174,0.0467737999004596,0.0135523249034049,0.00676279006629947,0.0181255914690281,0.0341696025769316,0.00319202145139516,0.0230462757821843,0.0162518111253211,0.00645042413975969,0.0143762342796911,0.0395764335547205,0.0338568315907943,0.0305782621099202,1.61366599201311e-05,1.45931533190751e-05,1.11880842112909e-05,0.0912587667963892,0.0758051352530581,0.157079196238265
"11","DHAP",0.0616509476125725,0.0404497167593802,0.0438205264893285,4.8224113277844,4.72927213267985,0.71064937957496,0.863602895249107,0.356629045461652,0.448840031218018,0.75741364666812,0.605392590576298,0.474382099765394,0.62223819977057,0.413069567847822,0.117454163858008,0.0470214660450159,0.237859231023814,0.226762217106082,0.613699854101876,0.542246267604078,0.490431337569468,0.637720819536364,0.744134325411236,1.25744546430192,1.14999288942071,0.363104695687421,1.15243721247422,1.41968509778857,6.86224978464298,3.91809700976657,7.2434525672015
"12","DHPS",2.48098437148063,5.62386317306863,5.92157586412702,67.643368131791,60.3141460552516,46.3771955524652,162.940399186575,60.5193729613463,16.8922637802866,65.9792412423142,20.7991387223063,16.2277012613622,49.41745403629,4.33352921715791,3.57938010102153,4.00349406527884,17.1562001125255,7.0950429708131,14.3364842230118,15.5574887579906,17.2787525785539,18.0649512565364,33.4310618519579,26.8260454281924,36.1905177373149,34.5534131580836,35.2215136571869,29.6027520322686,83.6190922576662,73.6536101309856,115.533405890113
"13","Ethyl Dihydroxybenzoate",0.0548950330925712,0.0360171031602843,0.0390185284236413,0.122155107578736,0.118214620237487,0.122155107578736,0.135708633551947,0.123862121914451,0.190768293711356,0.111188385255034,0.110183605162786,0.0835875625372856,0.0969615725432513,0.0128383545135852,0.0120602724218528,0.0275207196719738,0.0176883995520507,0.0144723269062233,0.020946788943218,0.0776428851875878,0.0837325232415163,0.0815342947077295,0.0598644110625612,0.0598644110625612,0.0483660638157887,0.0762695621710515,0.0689742127459944,0.052880229771929,0.200753311270563,0.165713240435604,0.141113420101671
