"","Full compound name","mz","RT_minute","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code"
"1","DHPS",155.001422,10.67,"C3H8O5S",NA,NA,"cpd:C19675"
"2","Resorcylic Acid",153.018785,4.08,"C7H6O4","C7H6O4",3469,"cpd:C00628"
"3","Ketoglutaric Acid",145.0137,10.845,"C5H6O5",NA,NA,"cpd:C00026"
"4","cAMP",328.044698,4.06,"C10H12N5O6P",NA,NA,"cpd:C00575"
"5","cGMP",344.039613,8.8,"C10H12N5O7P",NA,NA,"cpd:C00942"
"6","Amino Propanesulfonic Acid",138.022491,11.49,"C3H9NO3S",NA,NA,"cpd:C03349"
"7","Phosphoglyceric Acid",184.985118,14.755,"C3H7O7P","C3H7O7P",724,"cpd:C00597"
"8","L-Pyroglutamic acid",128.034768,7.97,"C5H7NO3",NA,NA,"cpd:C01879"
"9","ADP",426.021596,12.09,"C10H15N5O10P2",NA,NA,"cpd:C00008"
"10","AMP",346.055262,11.585,"C10H14N5O7P","C10H14N5O7P",6083,"cpd:C00020"
"11","Aconitic Acid",173.008615,14.21,"C6H6O6","C6H6O6",643757,"cpd:C00417"
"12","Citric Acid",191.01918,15.65,"C6H8O7","C6H8O7",311,"cpd:C00158"
"13","Fructose 6 phosphate",259.021897,13.51,"C6H13O9P",NA,NA,"cpd:C00085"
"14","Gluconic Acid",195.05048,10.79,"C6H12O7",NA,NA,"cpd:C00257"
"15","Glucose 1 phosphate",259.021897,13.45,"C6H13O9P",NA,NA,"cpd:C00103"
"16","Glucose 6 phosphate",259.021897,14.12,"C6H13O9P","C6H13O9P",99058,"cpd:C00092"
"17","DHAP",168.990203,12.86,"C3H7O6P","C3H7O6P",668,"cpd:C00111"
"18","Ribose 5 phosphate",229.011333,13.29,"C5H11O8P",NA,NA,"cpd:C00117"
"19","Ethyl Dihydroxybenzoate",181.050085,2.08,"C9H10O4",NA,NA,NA
"20","FAD",784.149317,7.585,"C27H33N9O15P2","C27H33N9O15P2",643975,"cpd:C00016"
"21","glycerol 3 phosphate",171.005853,13.065,"C3H9O6P","C3H9O6P",754,"cpd:C00093"
"22","GMP",362.050178,13.85,"C10H14N5O8P",NA,NA,"cpd:C00144"
"23","Inosine",267.072946,7.57,"C10H12N4O5","C10H12N4O5",135398641,"cpd:C00294"
"24","Isethionic Acid",124.990857,7.2,"C2H6O4S",NA,NA,"cpd:C05123"
"25","Cysteic Acid",167.996671,12.15,"C3H7NO5S","C3H7NO5S",72886,"cpd:C00506"
"26","Cysteinesulfinic acid",152.001756,10.74,"C3H7NO4S","C3H7NO4S",1549098,"cpd:C00606"
"27","Acetylglutamic acid",188.055899,11.84,"C7H11NO5","C7H11NO5",70914,"cpd:C00624"
"28","N-acetyltaurine",166.017406,3.74,"C4H9NO4S",NA,NA,NA
"29","NAD",662.101304,10.6,"C21H27N7O14P2",NA,NA,"cpd:C00003"
"30","Orotic Acid",155.009283,4.195,"C5H4N2O4","C5H4N2O4",967,"cpd:C00295"
"31","PEP",166.974553,13.865,"C3H5O6P",NA,NA,"cpd:C00074"
"32","Propionylglycine",130.050419,5.52,"C5H9NO3",NA,NA,NA
"33","Taurine",124.006841,11.13,"C2H7NO3S","C2H7NO3S",1123,"cpd:C00245"
"34","Threonic acid",135.02935,10.37,"C4H8O5","C4H8O5",151152,"cpd:C01620"
"35","UDP-glucose",565.047204,13.59,"C15H24N2O17P2",NA,NA,"cpd:C00029"
"36","UDP-glucosamine",606.073753,12.75,"C17H27N3O17P2",NA,NA,"cpd:C00043"
"37","Uridine",243.061713,6.02,"C9H12N2O6","C9H12N2O6",6029,"cpd:C00299"
