"","Full compound name","mz","RT_minute","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code"
"1","(3-Carboxypropyl)trimethylammonium (TMAB)",146.118104,9.91,"C7H16NO2",NA,NA,"cpd:C01181"
"2","Glucosylglycerol",255.107995,10.1,"C9H18O8",NA,NA,"cpd:C11546"
"3","Adenine",136.06232,4.72,"C5H5N5","C5H5N5",190,"cpd:C00147"
"4","Adenosine",268.10458,4.46,"C10H13N5O4","C10H13N5O4",60961,"cpd:C00212"
"5","Anserine",241.130066,8.55,"C10H16N4O3","C10H16N4O3",112072,"cpd:C01262"
"6","beta-Alanine",90.055504,11.39,"C3H7NO2","C3H7NO2",239,"cpd:C00099"
"7","Trimethylammonium Propionate (TMAP)",132.1018,9.38,"C6H13NO2",NA,NA,"cpd:C08263"
"8","beta-Glutamic acid",148.060984,11.9,"C5H9NO4",NA,NA,NA
"9","Betonicine",160.097369,8.45,"C7H13NO3","C7H13NO3",164642,"cpd:C08269"
"10","Carnitine",162.113019,10.21,"C7H15NO3","C7H15NO3",288,"cpd:C00487"
"11","Chitobiose",425.177138,10.21,"C16H28N2O11",NA,NA,"cpd:C01674"
"12","Choline",104.107539,15.265,"C5H14NO","C5H14NO+",305,"cpd:C00114"
"13","Citrulline",176.103517,12.21,"C6H13N3O3","C6H13N3O3",9750,"cpd:C00327"
"14","Creatine",132.077302,11.34,"C4H9N3O2","C4H9N3O2",586,"cpd:C00300"
"15","Cytidine",244.093347,8.55,"C9H13N3O5","C9H13N3O5",6175,"cpd:C00475"
"16","Cytosine",112.051087,7.41,"C4H5N3O","C4H5N3O",597,"cpd:C00380"
"17","Deoxyadenosine",252.109665,3.44,"C10H13N5O3",NA,NA,"cpd:C00559"
"18","Dimethylsulfonioacetate (DMS-Ac)",121.032327,8.39,"C4H9O2S",NA,NA,"cpd:C03392"
"19","DMSP",135.047977,9.325,"C5H10O2S",NA,NA,"cpd:C04022"
"20","Ectoine",143.082053,9.25,"C6H10N2O2","C6H10N2O2",126041,"cpd:C06231"
"21","Glutathione Disulfide",613.159793,14.98,"C20H32N6O12S2",NA,NA,"cpd:C00127"
"22","Glycerophosphocholine",258.110652,10.86,"C8H21NO6P",NA,NA,"cpd:C00670"
"23","Glycine",76.039854,11.51,"C2H5NO2","C2H5NO2",750,"cpd:C00037"
"24","Betaine",118.086804,7.86,"C5H11NO2",NA,NA,"cpd:C00719"
"25","Gonyol",179.074191,10.74,"C7H14O3S",NA,NA,NA
"26","Guanine",152.057235,8.61,"C5H5N5O","C5H5N5O",135398634,"cpd:C00242"
"27","Guanosine",284.099495,9.06,"C10H13N5O5","C10H13N5O5",135398635,"cpd:C00387"
"28","Homarine",138.055503,6.19,"C7H7NO2","C7H7NO2",3620,NA
"29","4-Hydroxyisoleucine",148.097369,8.34,"C6H13NO3",NA,NA,"cpd:C20802"
"30","trans Hydroxyl proline",132.066069,10.07,"C5H9NO3","C5H9NO3",5810,"cpd:C01157"
"31","Hypotaurine",110.027576,11.36,"C2H7NO2S","C2H7NO2S",107812,"cpd:C00519"
"32","Hypoxanthine",137.046336,5.51,"C5H4N4O","C5H4N4O",135398638,"cpd:C00262"
"33","Alanine",90.055504,11.3,"C3H7NO2",NA,NA,"cpd:C00041"
"34","Arginine",175.119501,17.93,"C6H14N4O2",NA,NA,"cpd:C00062"
"35","Argininosuccinic Acid",291.13046,13.69,"C10H18N4O6",NA,NA,"cpd:C03406"
"36","Asparagine",133.061318,11.86,"C4H8N2O3",NA,NA,"cpd:C00152"
"37","Aspartic acid",134.045334,12.86,"C4H7NO4",NA,NA,"cpd:C00049"
"38","Cystathionine",223.075255,13.14,"C7H14N2O4S","C7H14N2O4S",439258,"cpd:C02291"
"39","Cys-Gly",179.04904,9.53,"C5H10N2O3S",NA,NA,"cpd:C01419"
"40","Cystine",241.031677,13.1,"C6H12N2O4S2","C6H12N2O4S2",67678,"cpd:C00491"
"41","Glutamic acid",148.060984,12.41,"C5H9NO4",NA,NA,"cpd:C00025"
"42","Glutamine",147.076968,11.7,"C5H10N2O3",NA,NA,"cpd:C00064"
"43","Histidine",156.077302,11.45,"C6H9N3O2",NA,NA,"cpd:C00135"
"44","Homoserine",120.066069,11.32,"C4H9NO3","C4H9NO3",12647,"cpd:C00263"
"45","Lysine",147.113353,17.5,"C6H14N2O2",NA,NA,"cpd:C00047"
"46","Methionine",150.058876,7.96,"C5H11NO2S",NA,NA,"cpd:C00073"
"47","Methionine Sulfoxide",166.053791,9.73,"C5H11NO3S",NA,NA,"cpd:C02989"
"48","Ornithine",133.097703,16.79,"C5H12N2O2","C5H12N2O2",6262,"cpd:C00077"
"49","Proline",116.071154,9.49,"C5H9NO2",NA,NA,"cpd:C00148"
"50","Serine",106.050419,11.86,"C3H7NO3",NA,NA,"cpd:C00065"
"51","Threonine",120.066069,10.92,"C4H9NO3",NA,NA,"cpd:C00188"
"52","Tyrosine",182.081719,9.76,"C9H11NO3",NA,NA,"cpd:C00082"
"53","Muramic Acid",252.108329,11,"C9H17NO7","C9H17NO7",441038,"cpd:C06470"
"54","Trimethyl-L-lysine",189.160303,17.14,"C9H20N2O2","C9H20N2O2",440120,"cpd:C03793"
"55","N(e)-Acetyl-Lysine",189.123918,9.71,"C8H16N2O3","C8H16N2O3",92832,"cpd:C02727"
"56","6-Methyladenine",150.07797,3.97,"C6H7N5",NA,NA,"cpd:C08434"
"57","N-Acetylglucosamine",222.097764,8.55,"C8H15NO6",NA,NA,"cpd:C00140"
"58","Vitamin B3",124.039854,2.68,"C6H5NO2","C6H5NO2",938,"cpd:C00253"
"59","Acetyl-L-carnitine",204.123584,7.22,"C9H17NO4","C9H18NO4+",439756,"cpd:C02571"
"60","N-Acetyl-Serine",148.060984,6.27,"C5H9NO4",NA,NA,"cpd:C00979"
"61","Methylmalonyl carnitine",262.129063,9.67,"C11H19NO6","C11H19NO6",91825610,NA
"62","Ophthalmic Acid",290.135212,10.73,"C11H19N3O6","C11H19N3O6",7018721,"cpd:C21016"
