"","Full compound name","Meltwater_A","Meltwater_B","Meltwater_C","Meltwater_T-S_A","Meltwater_T-S_B","Meltwater_T-S_C","Sea ice_1_A","Sea ice_1_B","Sea ice_1_C","Sea ice_2","Sea ice_T-S_A","Sea ice_T-S_B","Sea ice_T-S_C","SW_08_A","SW_08_B","SW_08_C","SW_12_A","SW_12_B","SW_12_C","SW_15_A","SW_15_B","SW_15_C","SW_17_A","SW_17_B","SW_17_C","SW_19_A","SW_19_B","SW_19_C","SW_T-S_A","SW_T-S_B","SW_T-S_C"
"1","3OC12-HSL",0.00029447868155658,0.000193209994686444,0.000209310827576981,0.0109026556390907,0.00899558171740978,0.0229719645217648,0.0088392837334508,0.00433533517369149,0.000362265726780771,0.00258976816629345,0.00506598409912656,0.00508701359367039,0.00554486318757369,0.000852132166149171,0.000469540938655023,0.000873666397518441,9.48875751682313e-05,0.000827229912604138,0.00152487373984626,0.00192910737244863,8.63913139710667e-05,0.00075264353842439,0.00107810240082884,0.00286188918979986,0.00142628730116099,0.000151210851561226,0.000136747204890152,0.000104839523749116,0.0193216264203608,0.0221536533469584,0.00585416189491281
"2","3OC8-HSL",0.000945459772898637,0.000754289549554617,0.000675505586109668,0.00332398477124931,0.00396787751015405,0.0266118793004763,0.0138451959117519,0.00553981839760637,0.00986783060563673,6.8510202665021e-06,6.28954854185437e-06,6.31557427694654e-06,6.24073047386432e-06,0.000347155532014766,0.000300941354630617,0.000354093654141533,0.000502128899653652,0.000373377437661062,0.000638692771376585,0.000167497146074609,0.000179923139918065,0.000260660632468897,2.41480933642621e-06,3.35077937052238e-06,2.19840555651628e-06,0.00184065337138598,0.0025792787970143,0.0028001982685371,0.0121116110889317,0.00655501877899766,0.00264004356316148
"3","3OHC12-HSL",0.00962445268347948,0.00631468614979423,0.00684090999561041,0.00707436371604047,0.00684615843487788,0.00707436371604047,0.0182528289031559,0.00912641445157795,0.00912641445157795,0.0201595049602042,0.0125113400385136,0.0094913614085276,0.011009979233892,0.00225088006307181,0.00211446308955231,0.00232590939850754,0.00310121253134338,0.00253735570746277,0.00367248852395927,0.00341883921965651,0.00368698347217859,0.00359018915667987,0.00522203137733978,0.00522203137733978,0.00421901925303366,0.00665306882209155,0.0060166883260654,0.00461279438331681,0.0137117501929252,0.021226324557283,0.00971257096870391
"4","7-dehydrocholesterol",0.00936948089484588,0.00614739696720657,0.00665968004780712,0.269426413836624,0.106502013432198,0.0001594795898193,0.00038275101556632,0.00019137550778316,0.00019137550778316,0.065501354240525,0.000217472167935409,0.000164978886019966,0.00019137550778316,0.00219124956411718,0.00205844656023129,0.00226429121625442,0.00301905495500589,0.00247013587227755,0.00357519665724382,0.00864625845277599,0.00932439637064078,0.00907960314849985,0.0109307912671921,0.0109307912671921,0.00883127952989607,0.0139262484894515,0.0125941725469822,0.0096555322860197,0.274775102054018,0.171463194868496,0.00343494501149261
"5","Adenosyl Methionine",0.0286144348273243,0.0615571653403169,0.0385487989595765,11.2012768643275,12.6385614841578,8.86124853177658,13.0226868800283,1.95699257388792,1.63873043275576,4.13236003176917,1.45242045645894,1.51694906305826,2.36358671564424,0.366452195797652,0.199484923858367,0.159741528549776,0.627190624959125,0.427817975162783,0.843154319891791,0.832922961765461,0.944922596852244,1.29126411613733,1.05233339118172,1.51876692017534,1.21251406568211,0.582994398678562,1.22999307890365,1.46655117379831,13.4115282190621,7.65676481764005,13.2572340867422
"6","Agmatine",0.00780309025107259,0.00803336975800656,0.00231078268223447,0.0208229203196669,0.0312498728963497,1.65982329190096e-05,1.02927403330603,0.198782623023251,2.10666996056332,0.15383222401976,1.36782826779037e-05,0.0103900265687388,0.00815548384904196,0.0395051101063858,0.0240896856254722,0.0442702243310086,0.0337356721958339,0.0334766692841135,0.0447867788389023,0.0280382139373507,0.0196581631256661,0.0478717417107139,0.0694506808211558,0.0910937216509063,0.0437583160840755,0.0982853948511446,0.0752024747984613,0.0912869610396418,0.0519824484511719,0.0637430943369459,0.0266382519933653
"7","C14-HSL",0.024319102976999,0.0196983535281679,0.0146995628654145,0.0319400331302867,0.0275431129565242,0.04572718157249,0.224436421891309,0.028507336346459,0.0345058947301628,0.13349409897129,0.0353575328865912,0.0334629159556986,0.0301217492567464,0.00580359320974938,0.00527764894002002,0.00674604688415351,0.00863414208025131,0.00644898977339156,0.0115229772492151,0.0139245500358915,0.0192905950668763,0.0135310252729073,0.011637433215092,0.0161243595491352,0.00999691094984677,0.0157540239021737,0.0620202099922929,0.0617046784591479,0.121014644313295,0.163234360235186,0.0743309392997349
"8","Carotene",0.000530980907577028,0.000348381138455516,0.000377412899993476,2.9502909867066,0.693178446425436,0.000641601929988909,5.2315759417906,0.000769922315986691,0.000769922315986691,2.75804179834145,0.000874911722712148,0.000663726134471285,0.000769922315986691,0.000124181018707531,0.00011665489636162,0.000128320385997782,0.000171093847997042,0.000139985875633944,0.000202611135785971,0.00017498234454243,0.175714010914462,0.178177296639536,0.229274149599146,0.000290536723013845,0.383416618713104,0.000370154959608986,0.000334748833037692,0.000256640771995563,3.65450457239112,2.88322868330051,2.21410410019872
"9","Desthiobiotin",0.000595172866299292,0.000390498034449762,0.000423039537320575,0.0022235796223447,0.00258534358752751,0.00186406542526718,0.00656750729026573,0.00176408221988332,0.000472796290437293,0.00254466505753451,0.000187898218896763,0.000142543476404441,0.000165350432629151,0.000139193654215157,0.000130757675171814,0.000143833442688996,0.000191777923585327,0.000156909210206177,0.00022710543582473,4.26225699846818e-05,4.5965516650147e-05,4.4758784709451e-05,0.000521549834601539,0.000529633831893237,0.000428626565615121,0.000109384261266495,9.89214188844821e-05,7.58397544781029e-05,0.00236061754732839,0.00167700867109856,0.00206247022580717
"10","Glutathione",0.000975516682169712,0.000640044881966553,0.000693381955463766,0.48604549637708,1.27770342885383,0.0011787493242884,0.19743579682101,0.0987178984105051,0.0987178984105051,0.0796112083955686,0.00160738544221145,0.00121939585271214,0.00141449918914608,0.000228145030507433,0.000214318058961528,0.00023574986485768,0.000314333153143574,0.000257181670753833,0.000372236628722653,0.137691851750718,0.166990643244116,0.178044599607552,0.293356456363319,0.315593451163253,0.221636497948091,0.0364845584123497,0.032994731085951,0.0252959604992291,0.619995527655474,0.00114072515253716,0.695552774355103
"11","Hydroxo B12",0.00112528631761854,0.000738310027396784,0.000799835863013183,0.402475408637038,0.365846177157882,0.305797383418852,7.99052478230604e-05,3.99526239115302e-05,3.99526239115302e-05,0.0259975590175286,0.237400761317762,0.193189535247518,0.260996908121897,0.000263171800088209,0.000247221994022257,0.000271944193424482,0.00036259225789931,0.000296666392826708,0.000429385568564972,0.000476253437309036,0.000513606648078372,0.000500122941326911,0.0014551800980909,0.0014551800980909,0.0011756790426649,0.00185395541343312,0.00167662054780038,0.00128540908664696,0.400204789324638,0.26142226179918,0.329514900054743
"12","IAA",0.0602537918104426,0.0474306143547521,0.0427516853997734,0.300525791178979,0.128706502182882,0.208310133360304,2.83832264326432,0.339878788734213,0.733798481762235,0.175765563613086,0.0491525153876796,0.051860332617115,0.0480779933676617,0.0297898923900149,0.0278181859286054,0.0241678760048197,0.0168707427679252,0.0141296436124077,0.0256939333082661,0.0409891116431708,0.0344678559360177,0.0331224333956084,0.0656974978694776,0.0408859813077329,0.012450118448474,0.109545930278119,0.191895756198364,0.135145102047608,0.629331742870434,0.36133841580041,0.653256557708586
"13","Indole 3 acetamide",0.000412089924270951,0.000174930139152645,0.000164586592957102,0.00448982184795779,0.00188144407687922,0.00376273597429688,0.0258099193016262,0.00459881145757097,0.00928978612227407,0.0568650753400662,5.12195860311152e-06,3.09670805533368e-06,4.32492316088322e-06,0.000299689689257169,0.000351844136709944,0.000469318377643036,0.000845809899174276,7.03901538523584e-05,0.00048546717586625,0.000482956214658989,0.000821498397268847,0.000382238609290712,0.000318970715720593,0.000767589331512527,0.00110565630465498,0.00111834565180758,0.00313147966040782,0.00211421715524725,0.00724237242573106,0.0046061179269048,0.00979637449766777
"14","Indole 3 methyl acetate",0.00245794894957398,0.00161268143750329,0.00174707155729523,0.0113906959373948,0.0116100700673086,0.00221652665915258,0.0750610756198313,0.0337299877887332,0.0230370590521717,0.031664731905399,0.00111982494404281,0.000849522371342822,0.000985445950757674,0.000574842899497141,0.000540003935891254,0.000594004329480379,0.000792005772640506,0.000648004723069505,0.000937901572863756,0.00257523481195979,0.00277721401289781,0.00270430385981458,0.000732816792609016,0.000732816792609016,0.000592062347687162,0.00093363677904514,0.00710339707801759,0.00290812551710392,0.0276196300744306,0.0139924981620555,0.00115935940594681
"15","Isobutyryl-L-carnitine",0.153254464976054,0.177578186739386,0.142476782659693,0.871314340308128,0.659320551086058,0.66708991287881,3.81609338413744,0.782727848645207,1.07101315814384,2.07036426180388,0.187022222452124,0.152416079599901,0.258353556765844,0.0792636738255062,0.125733104034292,0.167845838168215,0.144351492525122,0.0708211946892847,0.112692281090861,0.0868623657134291,0.136170181052175,0.109321852749056,0.251425490478699,0.186078894110478,0.257476102855171,0.246270936993822,0.256618354854348,0.232131107025433,0.596437869529804,0.571825658024243,0.551233291479027
"16","Kynurenine",0.0534886333907486,0.0227056609032167,0.0213630846405418,0.0738386114614492,0.0442966238164779,0.0678860157850633,0.679197745082779,0.0533358434991815,0.0688198930866092,0.102867364597512,0.0578188925170035,0.0349569850289512,0.0488216103955812,0.00741897842366278,0.0126300728966779,0.0139115814558729,0.0197079652135689,0.00913653285842445,0.0143814819614546,0.0089265798912251,0.0162823340647662,0.01062999026529,0.0246464870512131,0.0189121301653497,0.0202936442287074,0.0327971215487411,0.0261778967267436,0.0174422888953278,0.0745630118962465,0.103659945480608,0.115515031808383
"17","Methylthioadenosine",0.00182888787445192,0.00255558482475172,0.00184051765404404,0.262013668317299,0.122662283009144,0.16535517932646,0.0602416129236991,0.0566908872682006,0.0319750737062836,0.102784568079273,0.0598593047364566,0.0335630584004976,0.0692726175194431,0.00477782411246108,0.00979382994381368,0.0114802581866296,0.0238479219844361,0.00769814050943604,0.0131452743022712,0.0130322987163725,0.0221238505733486,0.0148482722942972,0.0562448272950252,0.0275753604516306,0.0242973034345478,0.0217795859238964,0.0396549180101838,0.0322261237370984,0.108801719186903,0.167345146109559,0.000393230963322729
"18","Phenylalanine",0.676193182010741,1.29305498964908,1.00869105211941,52.3249550574878,45.4902541892524,37.6736691742338,134.212059734039,14.170853864705,7.28980770109005,45.4013806705289,30.0594688943122,25.7778859074349,42.5526978388031,5.42339267653231,5.31648311029473,6.59382530762565,9.70071537157735,6.65012804650793,10.2833344209202,9.7389053516359,13.6239604810494,15.0150538892712,18.621421080177,20.4743035956607,17.1386298528061,12.4666234212445,14.7938632688206,14.666374098674,66.9803136092442,65.4176682983212,71.8247895978858
"19","Pyridoxal",0.013611595317969,0.0108593558344987,0.00972511886461618,0.0301978891930403,0.0266641986192816,0.0390202938848319,0.34192553655814,0.0600559086167006,0.0363323144196242,0.103802659548537,0.0233650526606653,0.0417828206612587,0.0505516148220376,0.0049979287851582,0.00433259251328561,0.00509781554222948,0.00722904937413486,0.00537544031801705,0.00919513213115015,0.00389759957256428,0.0041867480710788,0.00606548107537645,0.0114414882463514,0.00702206413533928,0.0102221691498527,0.0146439598775156,0.0112506647752153,0.0158715692612627,0.0602719663128689,0.0430613398712769,0.048258762064399
"20","RP B12",0.00450867573233489,0.00295818091035547,0.00320469598621843,0.107192372597595,0.128964585948231,0.114887877131963,0.020810414774888,0.010405207387444,0.010405207387444,0.00839129628019679,0.0699996640862717,0.0523530070615676,0.0900680217704128,0.00105444835675574,0.000990542395740242,0.00108959663531426,0.00145279551375235,0.00118865087488829,0.00172041573996989,0.00128891618976375,0.00139000765562757,0.00135351580786647,0.00218387172159519,0.00218387172159519,0.00176440855555709,0.00278233656837849,0.00251620002705533,0.00192908668740908,0.104474809727188,0.0921639016298259,0.08049789137283
"21","Sulfurol",0.000147626925683963,9.68592951320122e-05,0.00010493090305968,0.00243744761258758,0.00316085037040231,0.00023219730028635,1.86049317493153e-06,9.30246587465763e-07,9.30246587465763e-07,7.50198860859487e-07,0.00241480386023768,0.000480448304324667,0.00190121937053077,3.45256519744753e-05,3.24331882184465e-05,3.56765070402911e-05,4.75686760537215e-05,3.89198258621358e-05,5.63313269057228e-05,5.34257528755905e-05,5.76160080030878e-05,5.61034159075414e-05,6.00307429896303e-05,6.00307429896303e-05,4.85004478422318e-05,7.64814754435193e-05,6.91658560532696e-05,5.30271563075067e-05,0.00319515696430942,0.00242099675183408,0.00189368389612277
"22","Tryptophan",0.240040244305808,0.315762338366448,0.266599410066077,14.7482513446875,8.92349931973587,7.96891841158687,40.9180621953108,5.84609404673115,2.02813155231829,14.6028699946461,4.50872425532643,2.9552394119487,5.60328213693885,0.703783079451159,0.961166022182833,1.12670107894249,1.61574600652391,0.715155333256148,1.15952481364107,1.00090880285165,1.82764767114932,1.64598847818384,2.86182243058004,1.70428150421825,2.78179574239105,1.74918820722813,2.50936085555893,1.72868634285485,7.82163751913581,11.9936325623409,12.6133005218671
"23","Vitamin B1",2.58084156888391e-05,1.59027193550705e-05,1.14236263855011e-05,0.807251299012307,0.79435155577764,2.00086055104574,0.0890943510622611,3.96237886368055e-05,4.77859666553507e-05,0.0116820920401106,0.646302100234016,0.52523909231846,0.584858088881295,2.6914255840423e-06,7.20109438631936e-06,5.50933168879782e-06,2.19717669660663e-05,0.00150121406625529,0.00302393282161405,4.02996977698978e-06,0.00411218708211973,0.0049564973869456,8.55635538637601e-06,8.29245697317793e-06,4.81542379277742e-06,8.15888725832016e-06,0.00769882429802255,0.00308236099555758,0.816387912278112,0.620931066941627,0.556161599284009
"24","Vitamin B2",0.00375147603011039,0.00207267658950368,0.00393863345474321,0.0779522864534331,0.0822322434367966,0.0373734782753681,0.659269466448449,0.0634119722100312,0.0476471542001002,0.177242093117435,0.0205714563616153,0.0154539006627774,0.0117792038146204,0.00629532603945997,0.00152997836600385,0.00307824950331098,0.00412285742249237,0.00524490487949684,0.005919768876006,0.00565857829138039,0.0100096239092534,0.0212032278784659,0.0149190032662967,0.00608860983708359,0.0111893442445174,0.00623217248558113,0.019228698054318,0.0154588710440664,0.0329616907548557,0.0295449294222016,0.0361663949525998
"25","Vitamin B5",0.00122895469268326,0.00464601034481491,0.00378163813401176,0.0667854907932503,0.0596982421766599,0.0790920831393628,0.00307729190373837,0.0501802607223811,0.00119635873164029,0.10173285692863,0.019039397984895,0.0308285311830918,0.0344314830423527,0.0080384877775459,0.00534539709681142,0.00448511420799354,0.00891727284277873,0.00724544198648904,0.0140751872239075,0.00960838240132921,0.0109951457242506,0.0186193279034799,0.0185204752954585,0.0276558130097265,0.0166094943834987,0.000949031086578944,0.000883605998486577,0.000913817153310696,0.0827759479350142,0.0537621917139645,0.0651889967205342
"26","Vitamin B6",0.0267490930857954,0.0113548580057702,0.0106834499860005,0.0137056945665833,0.00822220223732751,0.012600792177384,0.0454003956068742,0.00691389202972135,0.00892107969202895,0.024349904724428,0.0338650068040433,0.0204745972176159,0.0285952237453267,0.00371015170655654,0.0289591322402388,0.0183584621995332,0.0440598061411392,0.0166433608867017,0.0192412860320817,0.0270564066185242,0.0503634137414454,0.0226049648364612,0.0670919940611834,0.00659108967106893,0.0288972049502293,0.143966313107675,0.131812942487141,0.0786991480200562,0.108217846026311,0.170385215283085,0.165451758325793
"27","Xanthine",0.385162743728735,0.575541351764234,0.376452573074755,3.82420613950993,3.6179768323267,1.73264315192504,12.8917619006493,4.01397592517914,2.50316086732275,4.02548569955293,0.459728526421587,0.331418352822328,0.563327172062289,0.401590246151306,0.596412655048876,0.292430895377655,0.357887525117071,0.404594861150787,0.390702290189414,0.601626036110374,1.27178579798303,0.866956207831975,0.533779344218058,0.406194422690295,0.537365870587184,0.701697275387658,1.36596422809258,0.794513906138946,1.2358007479753,1.90084743921388,1.59514034759337
