"","Full compound name","mz","RT_minute","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code"
"1","3OHC12-HSL",300.217484,9.275,"C16H29NO4",NA,NA,NA
"2","Sulfurol",144.048311,1,"C6H9NOS",NA,NA,"cpd:C04294"
"3","7-dehydrocholesterol",367.336475,13.89,"C27H44O","C27H44O",439423,"cpd:C01164"
"4","Agmatine",131.129671,0.62,"C5H14N4","C5H14N4",199,"cpd:C00179"
"5","Carotene",536.4382,16.42,"C40H56","C40H56",5280489,"cpd:C02094"
"6","RP B12",678.2894,5.02,"C63H88CoN14O14P","C63H88CoN14O14P",5311498,"cpd:C02823"
"7","Desthiobiotin",215.139568,4.5,"C10H18N2O3","C10H18N2O3",643,"cpd:C01909"
"8","Glutathione",308.091634,0.87,"C10H17N3O6S","C10H17N3O6S",124886,"cpd:C00051"
"9","Hydroxo B12",664.7861,4.35,"C62H89CoN13O15P","C62H90CoN13O15P-2",70678542,"cpd:C08230"
"10","Indole 3 acetamide",175.087138,4.02,"C10H10N2O","C10H10N2O",397,"cpd:C02693"
"11","IAA",176.071154,5.41,"C10H9NO2","C10H9NO2",802,"cpd:C00954"
"12","Indole 3 methyl acetate",190.086804,7.31,"C11H11NO2",NA,NA,"cpd:C20635"
"13","Isobutyryl-L-carnitine",232.154884,1.3,"C11H21NO4",NA,NA,NA
"14","Kynurenine",209.092618,1.27,"C10H12N2O3","C10H12N2O3",161166,"cpd:C00328"
"15","Phenylalanine",166.086804,1.15,"C9H11NO2",NA,NA,"cpd:C00079"
"16","Tryptophan",205.097703,2.07,"C11H12N2O2",NA,NA,"cpd:C00078"
"17","Methylthioadenosine",298.097387,2.1,"C11H15N5O3S",NA,NA,"cpd:C00170"
"18","3OC12-HSL",298.201834,9.75,"C16H27NO4","C16H27NO4",127864,NA
"19","3OC8-HSL",242.139234,5.28,"C12H19NO4",NA,NA,"cpd:C11841"
"20","C14-HSL",312.253869,11.4,"C18H33NO3",NA,NA,NA
"21","Vitamin B5",220.118498,1.17,"C9H17NO5","C9H17NO5",6613,"cpd:C00864"
"22","Pyridoxal",168.066069,0.86,"C8H9NO3","C8H9NO3",1050,"cpd:C00250"
"23","Vitamin B6",170.081719,0.88,"C8H11NO3","C8H11NO3",1054,"cpd:C00314"
"24","Vitamin B2",377.146111,4.39,"C17H20N4O6","C17H20N4O6",493570,"cpd:C00255"
"25","Adenosyl Methionine",399.145066,0.71,"C15H22N6O5S","C15H22N6O5S",34755,"cpd:C00019"
"26","Vitamin B1",265.112308,0.69,"C12H17N4OS","C12H17N4OS+",1130,"cpd:C00378"
"27","Xanthine",153.041251,1.11,"C5H4N4O2","C5H4N4O2",1188,"cpd:C00385"
