"","MDS1","MDS2","species","r","pval","qval"
"3OC12-HSL",-0.121567858038986,-0.276728727192142,"3OC12-HSL",0.0913575325615703,0.24975024975025,0.27431584808634
"3OC8-HSL",-0.602878543006048,0.0713815299425829,"3OC8-HSL",0.368557860434039,0.003996003996004,0.00823791593022362
"3OHC12-HSL",-0.312503558922429,0.789815656695327,"3OHC12-HSL",0.721467245900255,0.000999000999000999,0.00247900247900248
"7-dehydrocholesterol",-0.384642778468414,0.0364897344741173,"7-dehydrocholesterol",0.149281567749893,0.0979020979020979,0.120356707512671
"Adenosyl Methionine",-0.24767754044834,-0.656816335323804,"Adenosyl Methionine",0.49275186239073,0.000999000999000999,0.00247900247900248
"Agmatine",-0.309187289360299,0.0171977155500121,"Agmatine",0.0958925413221087,0.238761238761239,0.264413272677736
"C14-HSL",-0.383920940821637,0.682063687305231,"C14-HSL",0.612606162341779,0.000999000999000999,0.00247900247900248
"Carotene",-0.232282224304715,-0.355929458609136,"Carotene",0.180640811233739,0.0629370629370629,0.0810919849381388
"Desthiobiotin",-0.538264540953107,0.706092316218815,"Desthiobiotin",0.78829507507071,0.000999000999000999,0.00247900247900248
"Glutathione",-0.0624827384083106,-0.321665108921968,"Glutathione",0.107372534896783,0.217782217782218,0.243190143190143
"Hydroxo B12",0.107529420113531,-0.234307482272708,"Hydroxo B12",0.0664625724389278,0.407592407592408,0.430058130845532
"Indole 3 acetamide",-0.402756286084414,0.0745972568723837,"Indole 3 acetamide",0.167777376713395,0.103896103896104,0.125424125424125
"Indole 3 methyl acetate",-0.681977029632584,0.444044393594339,"Indole 3 methyl acetate",0.662268092429046,0.000999000999000999,0.00247900247900248
"Isobutyryl-L-carnitine",-0.663932891472222,0.587005961263603,"Isobutyryl-L-carnitine",0.785382882937672,0.000999000999000999,0.00247900247900248
"Kynurenine",-0.373499438482502,0.733602280269883,"Kynurenine",0.677674136163917,0.000999000999000999,0.00247900247900248
"Methylthioadenosine",-0.139864315482681,-0.458962744874224,"Methylthioadenosine",0.230208827927921,0.035964035964036,0.0507282191492718
"RP B12",-0.103911093046392,0.0849031481001754,"RP B12",0.0180060598154162,0.787212787212787,0.787212787212787
"Sulfurol",-0.00778775619128639,0.291710808906325,"Sulfurol",0.0851558451792776,0.277722277722278,0.302559229388498
"Vitamin B5",-0.320396901380331,0.0213151295580939,"Vitamin B5",0.103108509162196,0.207792207792208,0.2359674224081
"Vitamin B6",-0.0321006764499477,0.345563768942758,"Vitamin B6",0.120444771834468,0.150849150849151,0.175772054032924
"Xanthine",-0.729340317159489,0.471155734198102,"Xanthine",0.753925024102058,0.000999000999000999,0.00247900247900248
"(3-Carboxypropyl)trimethylammonium (TMAB)",-0.630239609291644,0.393223594430764,"(3-Carboxypropyl)trimethylammonium (TMAB)",0.551826760337134,0.000999000999000999,0.00247900247900248
"4-Hydroxyisoleucine",-0.362501320406036,0.806490451838179,"4-Hydroxyisoleucine",0.78183405620227,0.000999000999000999,0.00247900247900248
"6-Methyladenine",-0.345430364603437,0.60099610448587,"6-Methyladenine",0.480518454397254,0.000999000999000999,0.00247900247900248
"Acetyl-L-carnitine",-0.883502008647442,0.256061392017854,"Acetyl-L-carnitine",0.846143235766185,0.000999000999000999,0.00247900247900248
"Adenosine",-0.623491386439084,0.133910530643141,"Adenosine",0.406673539180859,0.001998001998002,0.00469705732863628
"Adenosyl Homocysteine",-0.120023970484576,-0.438155123567561,"Adenosyl Homocysteine",0.206385665799387,0.0599400599400599,0.0779802721550295
"Anserine",-0.323452039878942,0.766165369460499,"Anserine",0.691630595462391,0.000999000999000999,0.00247900247900248
"Arginine",-0.590078476685785,0.175938164775178,"Arginine",0.379146846472274,0.002997002997003,0.00658358035407216
"Argininosuccinic Acid",-0.218614849677385,0.00878680749224171,"Argininosuccinic Acid",0.0478696604853713,0.494505494505495,0.51367237413749
"Asparagine",0.038952027006295,-0.589969263636778,"Asparagine",0.349580992444021,0.002997002997003,0.00658358035407216
"Aspartic acid",-0.723085030312317,-0.312352471928845,"Aspartic acid",0.620416027781825,0.000999000999000999,0.00247900247900248
"beta-Alanine",0.228547868173561,-0.17832135263435,"beta-Alanine",0.0840326328520238,0.288711288711289,0.311994457155747
"beta-Glutamic acid",-0.420500963027653,0.646200326319557,"beta-Glutamic acid",0.594395921642685,0.000999000999000999,0.00247900247900248
"Betonicine",0.0682536314991825,0.221665143364557,"Betonicine",0.0537939939956559,0.477522477522478,0.499906343656344
"Carnitine",-0.70779552080373,0.409384593387233,"Carnitine",0.668570244572653,0.000999000999000999,0.00247900247900248
"Chitobiose",-0.564943670525805,0.225157621167266,"Chitobiose",0.369857305236872,0.00699300699300699,0.0131980695360977
"Choline",-0.808010865204696,-0.130092685393459,"Choline",0.669805665081722,0.000999000999000999,0.00247900247900248
"Citrulline",-0.283809935663314,0.777462231971844,"Citrulline",0.684995601723855,0.000999000999000999,0.00247900247900248
"Creatine",-0.269536568061854,0.477125667739122,"Creatine",0.300298864338065,0.010989010989011,0.0188785573400958
"Cys-Gly",0.11863601297875,-0.509872280374398,"Cys-Gly",0.274044245869683,0.00999000999000999,0.0178488178488178
"Cystathionine",-0.237748291784138,0.141320093227197,"Cystathionine",0.0764956189960192,0.341658341658342,0.366257742257742
"Cystine",-0.572674498641112,-0.108774579808108,"Cystine",0.33978799060628,0.00599400599400599,0.0116405333796638
"Cytidine",-0.543233938310649,0.111248689394517,"Cytidine",0.307479382624496,0.016983016983017,0.0267732267732268
"Deoxyadenosine",-0.520411324400249,0.278046887236558,"Deoxyadenosine",0.34813801806596,0.013986013986014,0.0231373564706898
"Dimethylsulfonioacetate (DMS-Ac)",-0.474059006902873,0.708594409654398,"Dimethylsulfonioacetate (DMS-Ac)",0.726837979419202,0.000999000999000999,0.00247900247900248
"DMSP",-0.0344270730300656,0.839077457856476,"DMSP",0.705236203640304,0.000999000999000999,0.00247900247900248
"Ectoine",-0.368962265225591,0.681381870034746,"Ectoine",0.600414405972447,0.000999000999000999,0.00247900247900248
"Glucosylglycerol",0.0141624998905605,-0.794353737272269,"Glucosylglycerol",0.63119843632157,0.000999000999000999,0.00247900247900248
"Glutamic acid",0.484077337970306,-0.0143492647558656,"Glutamic acid",0.234536770535452,0.022977022977023,0.0345946188642818
"Glutamine",0.594664653947093,-0.186045898108414,"Glutamine",0.388239126856982,0.000999000999000999,0.00247900247900248
"Glutathione Disulfide",0.121731101820955,-0.590380458543048,"Glutathione Disulfide",0.363367546980043,0.004995004995005,0.00999000999000999
"Glycerophosphocholine",0.230468584412678,-0.773119233506047,"Glycerophosphocholine",0.650829117618161,0.000999000999000999,0.00247900247900248
"Glycine",-0.253513226658971,0.780938562735979,"Glycine",0.67413399485918,0.000999000999000999,0.00247900247900248
"Gonyol",-0.594736073357596,0.50992085021052,"Gonyol",0.613730270432231,0.000999000999000999,0.00247900247900248
"Guanosine",-0.521865053731685,0.0163617038354834,"Guanosine",0.272610839658774,0.028971028971029,0.0426606360672295
"Homoserine",0.751459638254347,0.156735304841798,"Homoserine",0.589257543709205,0.000999000999000999,0.00247900247900248
"Hypotaurine",-0.137070705294183,0.411731834351958,"Hypotaurine",0.188311481668673,0.048951048951049,0.0662569753478844
"Hypoxanthine",-0.744472849087523,0.0475752516943796,"Hypoxanthine",0.556503227602277,0.000999000999000999,0.00247900247900248
"Leucine",-0.427943596951114,0.296307007654037,"Leucine",0.270933564956347,0.016983016983017,0.0267732267732268
"Lysine",-0.30267741019009,-0.426013598382346,"Lysine",0.273101200646054,0.022977022977023,0.0345946188642818
"Methionine Sulfoxide",-0.154813183177719,-0.541551761256709,"Methionine Sulfoxide",0.317245431805861,0.00999000999000999,0.0178488178488178
"Methylmalonyl carnitine",-0.45552770002571,0.421982461897464,"Methylmalonyl carnitine",0.385574683639758,0.003996003996004,0.00823791593022362
"Muramic Acid",-0.338513985361314,0.757246042274091,"Muramic Acid",0.688013286824975,0.000999000999000999,0.00247900247900248
"N-Acetyl-Serine",-0.44877838161975,0.618804464839859,"N-Acetyl-Serine",0.584321001514986,0.000999000999000999,0.00247900247900248
"N-Acetylglucosamine",-0.178646384224818,-0.055316930898738,"N-Acetylglucosamine",0.0349744934406571,0.609390609390609,0.623346119529326
"N(e)-Acetyl-Lysine",-0.0559443893503132,0.834885713651209,"N(e)-Acetyl-Lysine",0.700163929558668,0.000999000999000999,0.00247900247900248
"Ophthalmic Acid",-0.317673831190895,0.694985018765158,"Ophthalmic Acid",0.583920839331509,0.000999000999000999,0.00247900247900248
"Ornithine",-0.323286414039117,0.329912691356634,"Ornithine",0.213356489420449,0.035964035964036,0.0507282191492718
"Propionyl-L-carnitine",-0.534647929429048,0.743937905490739,"Propionyl-L-carnitine",0.839292015668716,0.000999000999000999,0.00247900247900248
"Serine",-0.226458092306592,0.748109413522011,"Serine",0.610950962171388,0.000999000999000999,0.00247900247900248
"Stachydrine hydrochloride",-0.50278713435209,0.712600565084649,"Stachydrine hydrochloride",0.760594467828948,0.000999000999000999,0.00247900247900248
"Thiamine monophosphate",-0.123103459191474,-0.383398287852886,"Thiamine monophosphate",0.162148708793431,0.0959040959040959,0.118992118992119
"Threonine",-0.0400254449398379,-0.630585575385749,"Threonine",0.399240204127208,0.001998001998002,0.00469705732863628
"trans Hydroxyl proline",-0.232965984160407,0.369964653695246,"trans Hydroxyl proline",0.19114699475967,0.0589410589410589,0.0779802721550295
"Trigonelline",-0.635832654419764,-0.337438783212413,"Trigonelline",0.518148096842357,0.000999000999000999,0.00247900247900248
"Trimethyl-L-lysine",-0.686274180491857,0.410852585934418,"Trimethyl-L-lysine",0.639772098178768,0.000999000999000999,0.00247900247900248
"Trimethylamine N-oxide",-0.134988622762741,0.162117066129139,"Trimethylamine N-oxide",0.0445038714057011,0.511488511488511,0.527226619534312
"Trimethylammonium Propionate (TMAP)",-0.527178381242404,0.189791926782587,"Trimethylammonium Propionate (TMAP)",0.313938021121208,0.011988011988012,0.0200799200799201
"Turicine",-0.10961273617334,0.533809580140383,"Turicine",0.296967619781058,0.010989010989011,0.0188785573400958
"Tyrosine",-0.253037949815946,-0.259363389520011,"Tyrosine",0.131297571870366,0.13986013986014,0.165851847267776
"Vitamin B3",-0.452672379410316,-0.63534674984205,"Vitamin B3",0.608577775615853,0.000999000999000999,0.00247900247900248
"Acetylglutamic acid",-0.0841072858623873,0.448321082995762,"Acetylglutamic acid",0.20806582899363,0.045954045954046,0.0628351240596138
"Aconitic Acid",-0.636531909306908,0.626566374041474,"Aconitic Acid",0.797758292645378,0.000999000999000999,0.00247900247900248
"ADP",0.293317021036302,0.319977376078468,"ADP",0.188420396031672,0.0699300699300699,0.0892440892440892
"Amino Propanesulfonic Acid",-0.217825302654739,0.483375795775493,"Amino Propanesulfonic Acid",0.28110002241822,0.01998001998002,0.0307738238772721
"cAMP",-0.102016161694701,-0.58152703164963,"cAMP",0.348580985786149,0.011988011988012,0.0200799200799201
"cGMP",-0.445330741685751,-0.184253685011533,"cGMP",0.23226888993071,0.038961038961039,0.0543831168831169
"Citric Acid",-0.458292047489122,0.697740247799734,"Citric Acid",0.696873054191405,0.000999000999000999,0.00247900247900248
"Cysteinesulfinic acid",-0.381575125516316,0.0133517626473206,"Cysteinesulfinic acid",0.145777845978583,0.126873126873127,0.151794633937491
"DHAP",-0.00458501190282337,-0.56258431515571,"DHAP",0.316522133993368,0.003996003996004,0.00823791593022362
"DHPS",-0.510797372705567,-0.129481858001194,"DHPS",0.277679507514351,0.00799200799200799,0.0148740148740149
"Ethyl Dihydroxybenzoate",-0.363898911236758,0.736862840412957,"Ethyl Dihydroxybenzoate",0.675389263180749,0.000999000999000999,0.00247900247900248
"FAD",0.0768363064188582,-0.644302473905159,"FAD",0.421029495864401,0.000999000999000999,0.00247900247900248
"Fructose 6 phosphate",-0.0726917818438102,-0.54095382286236,"Fructose 6 phosphate",0.297915133617029,0.014985014985015,0.0244877074145367
"Gluconic Acid",-0.804341879696287,-0.080692209576567,"Gluconic Acid",0.653477092119705,0.000999000999000999,0.00247900247900248
"Glucose 1 phosphate",-0.0779637080952533,-0.542632754353474,"Glucose 1 phosphate",0.3005286458772,0.015984015984016,0.0258055197814234
"Glucose 6 phosphate",-0.036704731137308,-0.346920664379388,"Glucose 6 phosphate",0.121701184661298,0.146853146853147,0.172616856827383
"glycerol 3 phosphate",0.421590870206348,-0.00233563884078935,"glycerol 3 phosphate",0.17774431705014,0.0599400599400599,0.0779802721550295
"Inosine",0.188347451676788,-0.444099214556918,"Inosine",0.232698874923212,0.032967032967033,0.0480172001911132
"Ketoglutaric Acid",-0.161383208564525,0.00724836746730341,"Ketoglutaric Acid",0.0260970788375221,0.706293706293706,0.716995126086035
"L-Pyroglutamic acid",-0.423324537880587,0.222648148852434,"L-Pyroglutamic acid",0.228775862559228,0.018981018981019,0.029575076086704
"N-acetyltaurine",0.119785030444363,-0.0661623613513829,"N-acetyltaurine",0.0187259115781479,0.741258741258741,0.746832115253168
"NAD",0.539991553422744,0.522053079003601,"NAD",0.564130295065049,0.000999000999000999,0.00247900247900248
"Orotic Acid",0.00215664149950297,-0.318343719837795,"Orotic Acid",0.101347375062722,0.196803196803197,0.225398533090841
"PEP",0.0331450922362861,-0.334775776267414,"PEP",0.113173417514802,0.174825174825175,0.201953219194598
"Phosphoglyceric Acid",-0.282638868141994,-0.265982031085274,"Phosphoglyceric Acid",0.150631170644835,0.0999000999000999,0.121696485332849
"Propionylglycine",-0.275030733355275,0.718629941545768,"Propionylglycine",0.592070897176014,0.000999000999000999,0.00247900247900248
"Resorcylic Acid",-0.302341709898866,-0.112009020921858,"Resorcylic Acid",0.103956530312443,0.211788211788212,0.238484204870759
"Ribose 5 phosphate",-0.0824872504785171,-0.533180501717662,"Ribose 5 phosphate",0.291085593903403,0.00899100899100899,0.0165040439013042
"Threonic acid",0.224746127648209,-0.519553940609349,"Threonic acid",0.320447119095567,0.00599400599400599,0.0116405333796638
"UDP-glucosamine",-0.353027113095288,-0.501516388473322,"UDP-glucosamine",0.376146830487717,0.002997002997003,0.00658358035407216
"UDP-glucose",-0.21949668444548,-0.631672598532823,"UDP-glucose",0.447189066219768,0.001998001998002,0.00469705732863628
