Full quantification results
"","Full compound name","Abbreviated compound name","mz","RT","Column","z","SampID","Volume filtered (L)","Particulate carbon filtered (umol)","Normalized peak area (area per L filtered)","Estimated metabolite carbon concentration (nmol C per L)","Estimated metabolite carbon concentration per particulate carbon (nmol C per umol C)","mol Fraction C","Metabolite as a portion of particulate matter (C, %)","Metabolite as a portion of particulate matter (N, %)"
"1","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_T-S_A",0.6,76.76311476,30759797.2179479,0.290517812680705,0.000324394429265383,9.98575880665872e-05,0.000227076100485768,0.000245323257204426
"2","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_T-S_B",0.62,76.75804953,33573940.5060117,0.317096620948705,0.000365899093118861,0.00011658410471993,0.000256129365169855,0.000284113598580103
"3","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_T-S_C",0.6,64.52739864,26163824.6233132,0.247110117373967,0.000328246103979047,0.00010847169566989,0.000229772272785333,0.000245144771954028
"4","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_T-S_A",0.62,84.00397013,34062526.9323691,0.321711185176327,0.000339203244970187,6.54196845430867e-05,0.000237442271484784,0.000214947150235897
"5","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_T-S_B",0.62,71.22869299,30175145.8399477,0.284995941443587,0.000354386646884866,6.88456718232536e-05,0.000248070652805475,0.000216210324808225
"6","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_T-S_C",0.78,85.3133456,35088159.2974606,0.331398000378966,0.000432842077600029,6.65034966983044e-05,0.000302989454327124,0.000261189263905953
"7","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_T-S_A",0.44,25.87667432,20837627.2528103,0.196805650181922,0.000478061466307388,8.69974860273704e-05,0.000334643026384134,0.000295608431696972
"8","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_T-S_B",0.58,35.99248868,18194824.5371634,0.171845106428779,0.000395599055660251,8.10094662871772e-05,0.000276919338942172,0.000249318627630671
"9","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_T-S_C",0.5,31.7832986,33472136.2131388,0.316135107442052,0.00071046996685875,0.000108859483496856,0.000497328976801125,0.000444762419993184
"10","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_1_A",0.25,NA,822080957.903483,7.76432822506468,NA,0.00149443921931755,NA,NA
"11","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_1_B",0.5,NA,190137631.283536,1.79579755865727,NA,0.0012234332055553,NA,NA
"12","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_1_C",0.5,NA,83513218.0846589,0.788759343111835,NA,0.000816148796842462,NA,NA
"13","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Sea ice_2",0.62,NA,223897564.072787,2.11465082549408,NA,0.00107678209849073,NA,NA
"14","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_A",0.725,9.144216331,7826280.71122029,0.0739170657575811,0.000837217298804181,0.000539349029417152,0.000586052109194971,0.000676423842457866
"15","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_B",1.105,13.93704696,13839160.7117469,0.130707061260064,0.0014804458434405,0.000708642133954665,0.00103631209049015,0.00119611583208496
"16","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"Meltwater_C",1.02,12.86496642,14491783.0961749,0.136870899931922,0.00155026020026342,0.000694940994885819,0.00108518213988073,0.00125252185139832
"17","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_08_A",3.1,24.21686837,12287716.4476101,0.116054097493123,0.00212229695629587,0.000347457740469395,0.00148560786913719,0.00117578131381385
"18","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_08_B",3.3,25.77924698,9559842.90433101,0.0902900832036984,0.00165114694668581,0.000332183045976608,0.00115580286271594,0.000914757815077549
"19","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_08_C",3,23.43567907,15188731.1275312,0.143453382130589,0.00262335137503269,0.000422472958780915,0.00183634596236617,0.00145337226135025
"20","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_12_A",2.25,41.68972321,18761649.4519728,0.17719861163093,0.00136620471929623,0.000295601473033213,0.000956343303564716,0.000712568472261598
"21","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_12_B",2.75,50.95410614,11901915.6762849,0.112410315467456,0.000866685704207601,0.000267867141212027,0.000606679992915555,0.000452035408301743
"22","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_12_C",1.9,35.20465515,16781016.4986492,0.158492078904272,0.00122197699072563,0.000242456066170254,0.000855383893435054,0.000637343924373438
"23","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_15_A",2.2,65.94233043,18497506.011577,0.174703849588319,0.000832650647896259,0.00024285416404468,0.000582855453509704,0.000456630410542732
"24","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_15_B",2.04,61.14652458,14914875.9953241,0.140866895833671,0.000671381382611102,0.000193003045515333,0.000469966967809326,0.000368189416707109
"25","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_15_C",2.095,62.79508284,17867024.8479425,0.168749128648591,0.000804270035463903,0.00019470706126184,0.000562989024796042,0.000441066319231736
"26","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_17_A",1.325,45.4484529,23074963.5554988,0.217936675340597,0.000907672244678293,0.000169800617606653,0.00063537057127131,0.000504073654338837
"27","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_17_B",1.325,45.4484529,20617382.4691671,0.194725498861515,0.000811001316650847,0.000155389253976695,0.00056770092165247,0.000450387680965935
"28","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_17_C",1.64,56.25317944,24978570.2725262,0.235915716480452,0.000982552145444543,0.000192190087591605,0.000687786501825852,0.000545658031794866
"29","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_19_A",1.04,44.04571642,24863735.08221,0.234831129736494,0.000792113268979572,0.000210075571026047,0.000554479288336055,0.000413270392851711
"30","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_19_B",1.15,48.70439796,37408902.4502911,0.353316780264831,0.00119177942950054,0.00026447627818593,0.000834245600650384,0.000621788792418591
"31","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB",146.118104,9.91,"HILIC",1,"SW_19_C",1.5,63.5274756,24867879.2288804,0.234870270060391,0.000792245294008967,0.000154104989030396,0.000554571705806277,0.000413339274422274
"32","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_T-S_A",0.6,76.76311476,66085877.4971878,2.00931287460033,0.00261754995336295,0.000690646592294326,0.00157052997201777,0.00197952191074453
"33","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_T-S_B",0.62,76.75804953,76000678.4615912,2.31076816249786,0.00311080568427056,0.00084957965377912,0.00186648341046507,0.00241548069963224
"34","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_T-S_C",0.6,64.52739864,94262576.0010884,2.86601335603116,0.00444154485758943,0.0012580679894655,0.00266492691455366,0.00331708887946725
"35","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_T-S_A",0.62,84.00397013,1157392698.20776,35.1900305716033,0.0432872774160355,0.00715586154641807,0.0259723664502397,0.0274303888893083
"36","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_T-S_B",0.62,71.22869299,1107520913.23351,33.6737002537933,0.0488513202591052,0.00813446151199369,0.0293107921538171,0.0298040569907907
"37","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_T-S_C",0.78,85.3133456,1276791618.8104,38.820303747449,0.0591541622436194,0.00779028823089878,0.0354924973470037,0.0356953098900457
"38","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_T-S_A",0.44,25.87667432,140413342.888435,4.26920770846101,0.0120987429869159,0.00188719347041843,0.00725924579147627,0.00748123555636526
"39","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_T-S_B",0.58,35.99248868,123849697.347099,3.76559714146901,0.0101134358035544,0.00177513937418608,0.00606806148169428,0.00637379664864155
"40","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_T-S_C",0.5,31.7832986,123057227.930464,3.74150244738492,0.00980992799203699,0.00128836694924559,0.0058859567952222,0.00614112843219548
"41","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_1_A",0.25,NA,4242965737.55895,129.005560731611,NA,0.0248303476976937,NA,NA
"42","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_1_B",0.5,NA,221274382.274448,6.72775306860687,NA,0.00458345455657295,NA,NA
"43","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_1_C",0.5,NA,228525687.698612,6.94822591240096,NA,0.00718950116802815,NA,NA
"44","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Sea ice_2",0.62,NA,1324686344.92513,40.2765224351994,NA,0.0205088413769446,NA,NA
"45","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_A",0.725,9.144216331,86912240.8171579,2.64252955469512,0.0349188648832788,0.019281687333277,0.0209513189311129,0.0282124518835808
"46","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_B",1.105,13.93704696,59883606.3043106,1.82073546847992,0.0240595287562781,0.00987130959346863,0.0144357172549062,0.0194387274518658
"47","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"Meltwater_C",1.02,12.86496642,48195153.6429056,1.46535305840726,0.0193634411312543,0.00744010533119182,0.0116180646755015,0.0156445563983645
"48","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_08_A",3.1,24.21686837,17303599.3513777,0.526108546491324,0.0112245210597607,0.0015751316907733,0.00673471263463277,0.00621853698627117
"49","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_08_B",3.3,25.77924698,18471180.9783558,0.561608367089661,0.0119819094071658,0.00206619344457698,0.0071891456445226,0.00663814041006841
"50","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_08_C",3,23.43567907,17768100.8383531,0.540231515776105,0.0115258344800355,0.00159099216419215,0.00691550068743114,0.00638546871060656
"51","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_12_A",2.25,41.68972321,27189974.7394939,0.826699566884736,0.00743618123872345,0.00137909438159724,0.00446170874350163,0.0038784731379548
"52","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_12_B",2.75,50.95410614,20782414.3834637,0.631880431454507,0.00568377872473947,0.00150573374033937,0.00341026723467637,0.00296447630791766
"53","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_12_C",1.9,35.20465515,34001707.9356849,1.03380740486467,0.00929912091111084,0.00158148519657287,0.00557947254619105,0.00485012259616366
"54","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_15_A",2.2,65.94233043,27929799.7927475,0.849193631588917,0.00472186827821925,0.00118045601168814,0.00283312096684563,0.00258949975702247
"55","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_15_B",2.04,61.14652458,33277061.0083001,1.0117748245937,0.00562588704304506,0.00138624210725064,0.00337553222569455,0.00308526885387094
"56","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_15_C",2.095,62.79508284,32196806.295607,0.978930141519708,0.00544325700285938,0.00112951463845992,0.0032659542015492,0.00298511348803235
"57","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_17_A",1.325,45.4484529,242272591.605824,7.36619465326894,0.0357922264778249,0.00573921025261641,0.0214753358865768,0.0198771291106242
"58","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_17_B",1.325,45.4484529,67868284.919576,2.06350621086556,0.0100265449277698,0.00164666000373538,0.00601592695662877,0.00556821823270003
"59","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_17_C",1.64,56.25317944,231067575.942234,7.02551093859922,0.0341368495493722,0.00572337266380063,0.0204821097300603,0.0189578194125874
"60","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_19_A",1.04,44.04571642,562057553.739486,17.0891198205422,0.0672509007228295,0.015287609477761,0.0403505404373621,0.035086908968409
"61","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_19_B",1.15,48.70439796,74696531.0869909,2.27111611868151,0.00893753489034242,0.00170005041353182,0.00536252093420545,0.00466299290716402
"62","(Iso)leucine","(Iso)leucine",132.102454,7.63,"HILIC",1,"SW_19_C",1.5,63.5274756,502719478.89485,15.2849710030525,0.060151024649925,0.0100288993074758,0.036090614789955,0.031382680430633
"63","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_T-S_A",0.6,76.76311476,327441.666666667,0.0109026556390907,5.32612033454049e-06,3.74749102505714e-06,8.52179253526479e-06,4.02787801162661e-06
"64","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_T-S_B",0.62,76.75804953,270166.129032258,0.00899558171740978,4.54126692488963e-06,3.30732581703807e-06,7.26602707944477e-06,3.52620630224973e-06
"65","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_T-S_C",0.6,64.52739864,689921.666666667,0.0229719645217648,1.33501223933142e-05,1.00837957224283e-05,2.13601958293028e-05,9.97030176442335e-06
"66","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_T-S_A",0.62,84.00397013,580290.322580645,0.0193216264203608,8.91282903213161e-06,3.92903561803914e-06,1.42605264517501e-05,5.64790351921556e-06
"67","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_T-S_B",0.62,71.22869299,665345.161290323,0.0221536533469584,1.20520822600965e-05,5.35159602724632e-06,1.92833316150715e-05,7.35294245134887e-06
"68","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_T-S_C",0.78,85.3133456,175819.230769231,0.00585416189491281,3.34520221156348e-06,1.17478752377645e-06,5.35232353862705e-06,2.01859049401895e-06
"69","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_T-S_A",0.44,25.87667432,152147.727272727,0.00506598409912656,5.3837893155499e-06,2.23940664544563e-06,8.61406290408091e-06,3.32905625807813e-06
"70","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_T-S_B",0.58,35.99248868,152779.310344828,0.00508701359367039,5.1234090648758e-06,2.39806803221159e-06,8.19745450320913e-06,3.22892913562059e-06
"71","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_T-S_C",0.5,31.7832986,166530,0.00554486318757369,5.45182477100341e-06,1.90934486063256e-06,8.72291963360545e-06,3.4129053888809e-06
"72","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_1_A",0.25,NA,265472,0.0088392837334508,NA,1.70134130075813e-06,NA,NA
"73","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_1_B",0.5,NA,130204,0.00433533517369149,NA,2.95355842485491e-06,NA,NA
"74","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_1_C",0.5,NA,10880,0.000362265726780771,NA,3.74845305645356e-07,NA,NA
"75","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Sea ice_2",0.62,NA,77779.0322580645,0.00258976816629345,NA,1.31871227489976e-06,NA,NA
"76","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_A",0.725,9.144216331,8844.13793103448,0.00029447868155658,1.4592355183895e-06,2.14871612466969e-06,2.33477682955087e-06,1.17897909874756e-06
"77","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_B",1.105,13.93704696,5802.7149321267,0.000193209994686444,9.5741696905587e-07,1.04750838719839e-06,1.5318671506103e-06,7.73538322707677e-07
"78","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"Meltwater_C",1.02,12.86496642,6286.27450980392,0.000209310827576981,1.03720171684929e-06,1.06274361335441e-06,1.65952274649449e-06,8.37999849599983e-07
"79","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_08_A",3.1,24.21686837,25592.2580645161,0.000852132166149171,6.81758700872857e-06,2.55122329523114e-06,1.09081392119838e-05,3.77703571895693e-06
"80","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_08_B",3.3,25.77924698,14101.8181818182,0.000469540938655023,3.756619371882e-06,1.72747143073573e-06,6.01059099519772e-06,2.0812181105978e-06
"81","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_08_C",3,23.43567907,26239,0.000873666397518441,6.98987424454041e-06,2.57296427916268e-06,1.11837987903102e-05,3.87248518594464e-06
"82","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_12_A",2.25,41.68972321,2849.77777777778,9.48875751682313e-05,3.20068454060444e-07,1.58290783060419e-07,5.1210952652742e-07,1.66937418754099e-07
"83","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_12_B",2.75,50.95410614,24844.3636363636,0.000827229912604138,2.79035689171323e-06,1.97124001380903e-06,4.46457102652212e-06,1.45536047350221e-06
"84","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_12_C",1.9,35.20465515,45796.8421052632,0.00152487373984626,5.14360262400536e-06,2.33270262416555e-06,8.22976419770728e-06,2.68273781477211e-06
"85","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_15_A",2.2,65.94233043,57937.2727272727,0.00192910737244863,4.02248846806016e-06,2.6816338586266e-06,6.43598154870106e-06,2.20595584140176e-06
"86","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_15_B",2.04,61.14652458,2594.60784313725,8.63913139710667e-05,1.80139306476852e-07,1.18365543613418e-07,2.88222890351651e-07,9.87894330935809e-08
"87","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_15_C",2.095,62.79508284,22604.2959427208,0.00075264353842439,1.5693786655803e-06,8.68419367364536e-07,2.51100586480052e-06,8.60656298240746e-07
"88","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_17_A",1.325,45.4484529,32378.8679245283,0.00107810240082884,1.96443111639205e-06,8.39980022719252e-07,3.14308978621e-06,1.09094221768082e-06
"89","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_17_B",1.325,45.4484529,85951.6981132075,0.00286188918979986,5.21470332668467e-06,2.28376267498093e-06,8.34352532264957e-06,2.89597327403846e-06
"90","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_17_C",1.64,56.25317944,42835.9756097561,0.00142628730116099,2.59886551879142e-06,1.16193310657893e-06,4.15818483015497e-06,1.44327387656527e-06
"91","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_19_A",1.04,44.04571642,4541.34615384615,0.000151210851561226,2.23147814369906e-07,1.35270421867424e-07,3.57036503024273e-07,1.16423229505362e-07
"92","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_19_B",1.15,48.70439796,4106.95652173913,0.000136747204890152,2.01803240839807e-07,1.02362508156469e-07,3.22885185343691e-07,1.05287094509197e-07
"93","3OC12-HSL","3O12-HSL",298.201834,9.75,"RP",1,"SW_19_C",1.5,63.5274756,3148.66666666667,0.000104839523749116,1.54715817977185e-07,6.87881597494452e-08,2.47545308763496e-07,8.07201057903846e-08
"94","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_T-S_A",0.6,76.76311476,96652.9258228741,0.00332398477124931,2.16509242859787e-06,1.14252926168017e-06,2.59811091431745e-06,1.63735094938312e-06
"95","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_T-S_B",0.62,76.75804953,115375.67018366,0.00396787751015405,2.67082092297262e-06,1.45883436340523e-06,3.20498510740013e-06,2.07384100660311e-06
"96","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_T-S_C",0.6,64.52739864,773804.988002244,0.0266118793004763,2.062060447295e-05,1.16815762274783e-05,2.47447253675401e-05,1.54001321563233e-05
"97","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"SW_T-S_A",0.62,84.00397013,352174.491983019,0.0121116110889317,7.44924998139657e-06,2.46288538681735e-06,8.9390999778887e-06,4.72045913073954e-06
"98","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"SW_T-S_B",0.62,71.22869299,190603.082569444,0.00655501877899766,4.75476884428808e-06,1.58347753784931e-06,5.70572261282528e-06,2.90087147822345e-06
"99","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"SW_T-S_C",0.78,85.3133456,76765.6750074396,0.00264004356316148,2.01144182540998e-06,5.29792358992258e-07,2.41373019054856e-06,1.21376140850601e-06
"100","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_T-S_A",0.44,25.87667432,182.883891025391,6.28954854185437e-06,8.91214910448329e-09,2.78028049948083e-09,1.0694578924388e-08,5.51081106824016e-09
"101","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_T-S_B",0.58,35.99248868,183.640652447737,6.31557427694654e-06,8.48101278666798e-09,2.97722357130085e-09,1.01772153432664e-08,5.34499372189147e-09
"102","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_T-S_C",0.5,31.7832986,181.464387198216,6.24073047386432e-06,8.18135460650435e-09,2.14896314909437e-09,9.81762552780522e-09,5.12162264887783e-09
"103","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_1_A",0.25,NA,402582.678788498,0.0138451959117519,NA,2.66485434024588e-06,NA,NA
"104","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_1_B",0.5,NA,161083.667195863,0.00553981839760637,NA,3.77414355404597e-06,NA,NA
"105","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_1_C",0.5,NA,286931.127906711,0.00986783060563673,NA,1.02104883404135e-05,NA,NA
"106","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Sea ice_2",0.62,NA,199.210044328921,6.8510202665021e-06,NA,3.4885456693036e-09,NA,NA
"107","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_A",0.725,9.144216331,27491.5378941817,0.000945459772898637,6.24673847143253e-06,6.89871554883172e-06,7.49608616612892e-06,5.04700851942629e-06
"108","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_B",1.105,13.93704696,21932.7996062601,0.000754289549554617,4.98365946680341e-06,4.0894604381975e-06,5.9803913606361e-06,4.02651269978941e-06
"109","3OC8-HSL","3OC8-HSL",242.139234,5.28,"RP",1,"Meltwater_C",1.02,12.86496642,19641.9646298969,0.000675505586109668,4.46312667634011e-06,3.42977597353033e-06,5.35575201010944e-06,3.60595188260966e-06
