"","Sample1","Sample2","Metabolite distance (Euclidean)","Eukaryotic distance (Bray-Curtis)","Prokaryotic distance (Bray-Curtis)"
"1","Sea ice_1_A","Meltwater_A",0.266588997375803,0.60933528234478,0.685649913999657
"2","Sea ice_1_B","Meltwater_A",0.237414933322397,0.336493344653356,0.469976399725214
"3","Sea ice_1_C","Meltwater_A",0.268505422922827,0.526222562135398,0.649561509489457
"4","Sea ice_2","Meltwater_A",0.219225176030901,0.687368598361256,0.831345444885141
"5","Meltwater_A","Meltwater_A",0,0,0
"6","Meltwater_B","Meltwater_A",0.171711268135686,0.655341139137581,0.810160595450914
"7","Meltwater_C","Meltwater_A",0.167407680114845,0.695439735786137,0.889455353756244
"8","SW_08_A","Meltwater_A",0.279362765010131,0.323854305868697,0.295715203135089
"9","SW_08_B","Meltwater_A",0.280815310727532,0.332042705082,0.307278443572916
"10","SW_08_C","Meltwater_A",0.283612580328523,0.288727299936614,0.237148216461589
"11","SW_12_A","Meltwater_A",0.287718145075262,0.206827362438277,0.422957487392851
"12","SW_12_B","Meltwater_A",0.254126267758686,0.222962929415587,0.318133111057315
"13","SW_12_C","Meltwater_A",0.257385019439939,0.143562772853715,0.22386587970261
"14","SW_15_A","Meltwater_A",0.220112934543515,0.0943185420665599,0.203577360380352
"15","SW_15_B","Meltwater_A",0.293756231812633,0.110987891773284,0.180305310514291
"16","SW_15_C","Meltwater_A",0.278179827048218,0.1259059707392,0.166945983123919
"17","SW_17_A","Meltwater_A",0.305681099299157,0.192004329680631,0.235359845948017
"18","SW_17_B","Meltwater_A",0.302946428056329,0.166491464099854,0.230931474907181
"19","SW_17_C","Meltwater_A",0.308833291007018,0.189741924185333,0.222959597482639
"20","SW_19_A","Meltwater_A",0.302396155006015,0.280666027441306,0.237420517138355
"21","SW_19_B","Meltwater_A",0.320624299387925,0.289192937105817,0.273058280228977
"22","SW_19_C","Meltwater_A",0.333409452554031,0.27955938300596,0.262701971891977
"23","Sea ice_1_A","Meltwater_B",0.185146007086349,0.746146887746826,0.834421208828435
"24","Sea ice_1_B","Meltwater_B",0.156941869317757,0.662797520757398,0.756209537517941
"25","Sea ice_1_C","Meltwater_B",0.1419350255664,0.715011524453228,0.812186749667869
"26","Sea ice_2","Meltwater_B",0.137536542961755,0.74308864803585,0.865163490385066
"27","Meltwater_A","Meltwater_B",0.171711268135686,0.655341139137581,0.810160595450914
"28","Meltwater_B","Meltwater_B",0,0,0
"29","Meltwater_C","Meltwater_B",0.0293342714883385,0.489825710908758,0.705352667950035
"30","SW_08_A","Meltwater_B",0.182101781735694,0.67325098827067,0.807612762922229
"31","SW_08_B","Meltwater_B",0.200809888392521,0.691746686480049,0.814800110252658
"32","SW_08_C","Meltwater_B",0.200897249334456,0.714849306248745,0.816114239406446
"33","SW_12_A","Meltwater_B",0.214309518974634,0.648891962115426,0.763904684963806
"34","SW_12_B","Meltwater_B",0.194082498824519,0.662389637826167,0.801174602078006
"35","SW_12_C","Meltwater_B",0.184998780318141,0.658478674660456,0.8036089523622
"36","SW_15_A","Meltwater_B",0.166539371645486,0.667743874167641,0.815864888772502
"37","SW_15_B","Meltwater_B",0.219837248317402,0.669398845401219,0.809801502845361
"38","SW_15_C","Meltwater_B",0.196564377281208,0.67200085041569,0.81898571263319
"39","SW_17_A","Meltwater_B",0.225062993182457,0.693674908066081,0.811342119091818
"40","SW_17_B","Meltwater_B",0.221377777875027,0.687070772969382,0.80019658081961
"41","SW_17_C","Meltwater_B",0.225589891588861,0.704140023756852,0.806983422589897
"42","SW_19_A","Meltwater_B",0.222663810820365,0.712525730878041,0.81074036447662
"43","SW_19_B","Meltwater_B",0.238482617938849,0.723992197036612,0.823021929998297
"44","SW_19_C","Meltwater_B",0.244685633674141,0.717761358041542,0.816181736230679
"45","Sea ice_1_A","Meltwater_C",0.183091490681957,0.751535851565108,0.877347803821069
"46","Sea ice_1_B","Meltwater_C",0.143330000221343,0.696728977139392,0.836044239315039
"47","Sea ice_1_C","Meltwater_C",0.136962757283718,0.709999938936372,0.877926617415942
