Quantification method for each quantified metabolite in each sample set.
"","Full compound name","Abbreviated compound name","Quantification method"
"1","(3-Carboxypropyl)trimethylammonium (TMAB)","TMAB","direct RF and RF ratio "
"2","(Iso)leucine","(Iso)leucine","direct RF and RF ratio "
"3","3OC12-HSL","3O12-HSL","direct RF and RF ratio "
"4","3OC8-HSL","3OC8-HSL","direct RF and RF ratio "
"5","3OHC12-HSL","3OHC12-HSL","direct RF and RF ratio "
"6","4-Hydroxyisoleucine","4-Hydroxyisoleucine","direct RF and RF ratio "
"7","6-Methyladenine","N6-Methyladenine","direct RF and RF ratio "
"8","7-dehydrocholesterol","7-DHC","direct RF and RF ratio "
"9","Acetyl-L-carnitine","Acetyl-L-carnitine","direct RF and RF ratio "
"10","Acetylglutamic acid","Acetylglutamic acid","direct RF and RF ratio "
"11","Aconitic Acid","Aconitic acid","direct RF and RF ratio "
"12","Adenine","Adenine","isotopologue "
"13","Adenosine","Adenosine","direct RF and RF ratio "
"14","Adenosyl Homocysteine","SAH","direct RF and RF ratio "
"15","Adenosyl Methionine","SAM","direct RF and RF ratio "
"16","ADP","ADP","direct RF and RF ratio "
"17","Agmatine","Agmatine","direct RF and RF ratio "
"18","Alanine","Alanine","isotopologue "
"19","Amino Propanesulfonic Acid","3-Aminopropanesulfonate","direct RF and RF ratio "
"20","AMP","AMP","isotopologue "
"21","Anserine","Anserine","direct RF and RF ratio "
"22","Arginine","Arginine","direct RF and RF ratio "
"23","Argininosuccinic Acid","Argininosuccinate","direct RF and RF ratio "
"24","Asparagine","Asparagine","direct RF and RF ratio "
"25","Aspartic acid","Aspartic acid","direct RF and RF ratio "
"26","beta-Alanine","b-Alanine","direct RF and RF ratio "
"27","beta-Glutamic acid","b-Glutamic acid","direct RF and RF ratio "
"28","Betaine","Glycine betaine","isotopologue "
"29","Betonicine","Betonicine","direct RF and RF ratio "
"30","Butyryl-L-carnitine","Butyryl-L-carnitine","direct RF and RF ratio "
"31","C14-HSL","C14-HSL","direct RF and RF ratio "
"32","cAMP","cAMP","direct RF and RF ratio "
"33","Carnitine","Carnitine","direct RF and RF ratio "
"34","Carotene","b-Carotene","direct RF and RF ratio "
"35","cGMP","cGMP","direct RF and RF ratio "
"36","Chitobiose","Chitobiose","direct RF and RF ratio "
"37","Choline","Choline","direct RF and RF ratio "
"38","Citric Acid","Citric acid","direct RF and RF ratio "
"39","Citrulline","Citrulline","direct RF and RF ratio "
"40","Creatine","Creatine","direct RF and RF ratio "
"41","Cys-Gly","Cys-Gly","direct RF and RF ratio "
"42","Cystathionine","Cystathionine","direct RF and RF ratio "
"43","Cysteic Acid","Cysteic acid","isotopologue "
"44","Cysteinesulfinic acid","CSA","direct RF and RF ratio "
"45","Cystine","Cystine","direct RF and RF ratio "
"46","Cytidine","Cytidine","direct RF and RF ratio "
"47","Cytosine","Cytosine","isotopologue "
"48","Deoxyadenosine","Deoxyadenosine","direct RF and RF ratio "
"49","Desthiobiotin","Desthiobiotin","direct RF and RF ratio "
"50","DHAP","DHAP","direct RF and RF ratio "
"51","DHPS","DHPS","direct RF and RF ratio "
"52","Dimethylsulfonioacetate (DMS-Ac)","DMS-Ac","direct RF and RF ratio "
"53","DMSP","DMSP","direct RF and RF ratio "
"54","Ectoine","Ectoine","direct RF and RF ratio "
"55","Ethyl Dihydroxybenzoate","EDHB","direct RF and RF ratio "
"56","FAD","FAD","direct RF and RF ratio "
"57","Fructose 6 phosphate","F6-phosphate","direct RF and RF ratio "
"58","Gluconic Acid","Gluconic acid","direct RF and RF ratio "
"59","Glucose 1 phosphate","Glucose 1 phosphate","direct RF and RF ratio "
