"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"1","Polaribacter.sp..L3A8.9","Polaribacter.sp..L3A8.9",1,0,0,1,0,0,1,1,1
"2","Polaribacter.sp..L3A8.17","Polaribacter.sp..L3A8.9",0.817448680351906,1.13108957432104e-08,1.18909416787597e-07,0.722140762463343,3.07488919737693e-06,2.27153976743161e-05,0.0414655527050448,0.76,1
"3","Polaribacter.sp..L3A8.17","Polaribacter.sp..L3A8.17",1,0,0,1,0,0,1,1,1
"4","Paraglaciecola.psychrophila.170.3","Polaribacter.sp..L3A8.9",0.274193548387097,0.12885384257647,0.21132030182541,0.284824046920821,0.114099562860208,0.190113730179379,-0.029868097950557,0.92,1
"5","Paraglaciecola.psychrophila.170.3","Polaribacter.sp..L3A8.17",0.534457478005865,0.0016267809033053,0.00479841849176384,0.531891495601173,0.00172973075392672,0.00517656648985369,-0.000429414432531817,1,1
"6","Paraglaciecola.psychrophila.170.3","Paraglaciecola.psychrophila.170.3",1,0,0,1,0,0,1,1,1
"7","Polaribacter.sp..L3A8.13","Polaribacter.sp..L3A8.9",0.605938416422287,0.00023754134465873,0.000869570993839994,0.542155425219941,0.00134931058213459,0.00414395010243583,0.0408396402721019,0.94,1
"8","Polaribacter.sp..L3A8.13","Polaribacter.sp..L3A8.17",0.767595307917889,2.95135367243519e-07,2.30486667752082e-06,0.699780058651026,8.30010198748467e-06,5.53340132498978e-05,-0.0530174913026846,0.9,1
"9","Paraglaciecola.psychrophila.170.3","Polaribacter.sp..L3A8.13",0.785923753665689,9.83558351485097e-08,8.48966156018715e-07,0.785923753665689,9.83558351485097e-08,1.13594063129265e-06,0.0583285422941682,0.92,1
"10","Polaribacter.sp..L3A8.13","Polaribacter.sp..L3A8.13",1,0,0,1,0,0,1,1,1
"11","Fragilariopsis_sublineata.21","Polaribacter.sp..L3A8.9",0.469208211143695,0.00674687639827737,0.0169706706950535,0.428885630498534,0.0143133994663868,0.0317215880065869,0.00565093530360044,0.88,1
"12","Fragilariopsis_sublineata.21","Polaribacter.sp..L3A8.17",0.586510263929619,0.000418898995624215,0.00141989667890664,0.616202346041056,0.000173386893291801,0.000677034535710842,-0.0310736359524519,0.92,1
"13","Fragilariopsis_sublineata.21","Paraglaciecola.psychrophila.170.3",0.775659824046921,1.84290809432374e-07,1.49622241321334e-06,0.775659824046921,1.84290809432374e-07,1.91289194600692e-06,-0.0220115634602244,0.96,1
