"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"1","Porosira_pseudodelicatula.10","Porosira_pseudodelicatula.10",1,0,0,1,0,0,1,1,1
"2","Porosira_pseudodelicatula.10","Stellarima_microtrias.4",0.858695652173913,1.57993302983442e-07,2.15924180744037e-06,0.858695652173913,1.57993302983442e-07,2.69905225930046e-06,-0.0585336689796546,0.84,1
"3","Stellarima_microtrias.4","Stellarima_microtrias.4",1,0,0,1,0,0,1,1,1
"4","Polar.centric.Mediophyceae.4","Porosira_pseudodelicatula.10",0.549542888039312,0.0066027533391021,0.0181521362896973,0.467012616184487,0.0246598182017187,0.0572834303835959,-0.0301991833889775,0.88,1
"5","Polar.centric.Mediophyceae.4","Stellarima_microtrias.4",0.748702765629098,3.96317971057129e-05,0.00029543703296986,0.714109238504322,0.000129637228680643,0.000984282662204885,0.0119985964298517,0.96,1
"6","Polar.centric.Mediophyceae.4","Polar.centric.Mediophyceae.4",1,7.4693800584569e-166,1.57048503793196e-164,1,7.4693800584569e-166,1.57048503793196e-164,1,1,1
"7","Marinomonas.9","Porosira_pseudodelicatula.10",0.583642221919449,0.00345970916668915,0.0105856773010638,0.621695101756703,0.00154109213398696,0.0071241028138255,-0.0690738204512402,0.94,1
"8","Marinomonas.9","Stellarima_microtrias.4",0.80652337525194,3.35618609930073e-06,3.39762049558839e-05,0.832221423973202,8.47975648243764e-07,1.21989479221033e-05,0.0942001604109203,0.84,1
"9","Marinomonas.9","Polar.centric.Mediophyceae.4",0.860603064755314,1.38192449376599e-07,1.96218840858185e-06,0.794364804745427,6.00845369448149e-06,6.93934088658425e-05,0.0626027537550406,0.92,1
"10","Marinomonas.9","Marinomonas.9",1,7.4693800584569e-166,1.57048503793196e-164,1,7.4693800584569e-166,1.57048503793196e-164,1,1,1
"11","Corethron_inerme.17","Porosira_pseudodelicatula.10",0.50197628458498,0.0146593771191775,0.0344432356381822,0.50296442687747,0.0144343994523315,0.0368729207193515,-0.0487430577237664,0.76,1
"12","Corethron_inerme.17","Stellarima_microtrias.4",0.766798418972332,1.97335985316087e-05,0.000160213374217021,0.766798418972332,1.97335985316087e-05,0.000194958443324327,0.0232184232725191,1,1
"13","Corethron_inerme.17","Polar.centric.Mediophyceae.4",0.854460119981987,2.11262824075058e-07,2.79412122163786e-06,0.843587868599915,4.28030768673284e-07,6.38154964203805e-06,-0.0604062918783554,0.8,1
"14","Corethron_inerme.17","Marinomonas.9",0.961205860824156,3.19772352949932e-13,6.39544705899865e-12,0.926612333699379,2.21353520000154e-10,4.22116014884015e-09,0.0229325513274136,0.98,1
"15","Corethron_inerme.17","Corethron_inerme.17",1,0,0,1,0,0,1,1,1
"16","Marinomonas.5","Porosira_pseudodelicatula.10",0.572134387351779,0.00433605141616051,0.0128359644810528,0.523715415019763,0.0103230755050702,0.0290890787428096,-0.0404502832837072,0.9,1
"17","Marinomonas.5","Stellarima_microtrias.4",0.733201581027668,6.89021232818517e-05,0.000448410643580305,0.700592885375494,0.000196952667363568,0.00134584322698438,-0.0551012108093259,0.86,1
"18","Marinomonas.5","Polar.centric.Mediophyceae.4",0.698295054675852,0.000210995691404038,0.00107463644069137,0.637015092340533,0.00108004507544706,0.00530321534051849,0.0566781849967053,0.94,1
"19","Marinomonas.5","Marinomonas.9",0.857425279449825,1.72546585496679e-07,2.31947869028322e-06,0.828267878016085,1.06308676946442e-06,1.50298474303591e-05,-0.0225050767366198,0.8,1
"20","Corethron_inerme.17","Marinomonas.5",0.786561264822134,8.56022972038218e-06,7.54772943087461e-05,0.760869565217391,2.49627000893319e-05,0.000243683500872049,-0.0569065778646661,0.94,1
"21","Marinomonas.5","Marinomonas.5",1,0,0,1,0,0,1,1,1
"22","Flavobacteriaceae.11","Porosira_pseudodelicatula.10",0.688427636467603,0.000281645601532256,0.00137469876938363,0.687438516300264,0.000289743415731859,0.00182761231461634,-0.181337926828611,NA,NA
"23","Flavobacteriaceae.11","Stellarima_microtrias.4",0.740851005336544,5.26958270388464e-05,0.000360442268368449,0.746785726340575,4.2526483771863e-05,0.00038320567794426,-0.044863374860317,0.84,1
"24","Flavobacteriaceae.11","Polar.centric.Mediophyceae.4",0.65001254600216,0.000786899584554291,0.00321023711111701,0.576304882871017,0.00399913753871296,0.0139544373691261,0.00393185910461339,0.94,1
"25","Flavobacteriaceae.11","Marinomonas.9",0.732129808282494,7.14892047125798e-05,0.00045442750282415,0.68464030720471,0.0003137533273934,0.00196395212566861,0.00976901104726563,0.92,1
"26","Corethron_inerme.17","Flavobacteriaceae.11",0.642928108770031,0.000936808285448894,0.00374723314179557,0.562809375215612,0.0051762399579769,0.0171149869578268,0.021971301554106,0.72,1
"27","Flavobacteriaceae.11","Marinomonas.5",0.833828301066363,7.7224623374803e-07,9.45137181602067e-06,0.751731327177267,3.54100886461463e-05,0.000326250254942022,0.00640555464583747,0.88,1
"28","Flavobacteriaceae.11","Flavobacteriaceae.11",1,7.4693800584569e-166,1.57048503793196e-164,1,7.4693800584569e-166,1.57048503793196e-164,1,1,1
"29","Porosira_pseudodelicatula.10","Rhizosolenia_pungens.12",0.739130434782609,5.601620809331e-05,0.000379613972202597,0.733201581027668,6.89021232818517e-05,0.00058853896969915,0.0197217454074143,0.78,1
"30","Rhizosolenia_pungens.12","Stellarima_microtrias.4",0.852766798418972,2.36685788616076e-07,3.08067216928861e-06,0.852766798418972,2.36685788616076e-07,3.59411753083671e-06,0.00992951017628431,0.84,1
"31","Polar.centric.Mediophyceae.4","Rhizosolenia_pungens.12",0.74573760616126,4.41861328442197e-05,0.000326420080470812,0.699283441165131,0.000204852231460165,0.00138825479171351,-0.00722304099384827,0.84,1
"32","Marinomonas.9","Rhizosolenia_pungens.12",0.809982727964417,2.82269486997123e-06,2.96744845304668e-05,0.77538920083964,1.38661179671836e-05,0.000143926794089754,0.0355319407095145,0.9,1
