"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"1","20ppt3C","Exp_Melted",0.000237666666666667,2.48661013953333,"TMAB †","C7H16NO2","yes","no"
"2","35ppt0C","Exp_Ambient",0.000262666666666667,4.03353305183333,"TMAB †","C7H16NO2","yes","no"
"3","50ppt-3C","Exp_Frozen",0.000369666666666667,3.98563384757333,"TMAB †","C7H16NO2","yes","no"
"4","Hero1","Melted_hero",0.000905333333333333,1.34416321036667,"TMAB †","C7H16NO2","yes","no"
"5","StaB1","SW_Station B1",0.0013084,3.53316924234,"TMAB †","C7H16NO2","yes","no"
"6","StaB2","SW_Station B2",0.000806,3.01257189273333,"TMAB †","C7H16NO2","yes","no"
"7","StaB3","SW_Station B3",0.000538666666666667,2.55934740726667,"TMAB †","C7H16NO2","yes","no"
"8","StaB4","SW_Station B4",0.000630333333333333,3.64243740004,"TMAB †","C7H16NO2","yes","no"
"9","StaB5","SW_Station B5",0.000647666666666667,3.12584895483333,"TMAB †","C7H16NO2","yes","no"
"10","20ppt3C","Exp_Melted",1.23966666666667e-05,2.48661013953333,"3O12-HSL †","C16H27NO4","yes","no"
"11","35ppt0C","Exp_Ambient",1.29833333333333e-05,4.03353305183333,"3O12-HSL †","C16H27NO4","yes","no"
"12","50ppt-3C","Exp_Frozen",8.51e-06,3.98563384757333,"3O12-HSL †","C16H27NO4","yes","no"
"13","Hero1","Melted_hero",1.84e-06,1.34416321036667,"3O12-HSL †","C16H27NO4","yes","no"
"14","StaB1","SW_Station B1",6.086e-06,3.53316924234,"3O12-HSL †","C16H27NO4","yes","no"
"15","StaB2","SW_Station B2",4.40066666666667e-06,3.01257189273333,"3O12-HSL †","C16H27NO4","yes","no"
"16","StaB3","SW_Station B3",3.07933333333333e-06,2.55934740726667,"3O12-HSL †","C16H27NO4","yes","no"
"17","StaB4","SW_Station B4",5.21333333333333e-06,3.64243740004,"3O12-HSL †","C16H27NO4","yes","no"
"18","StaB5","SW_Station B5",3.09333333333333e-07,3.12584895483333,"3O12-HSL †","C16H27NO4","yes","no"
"19","20ppt3C","Exp_Melted",1.01666666666667e-05,2.48661013953333,"3OC8-HSL †","C12H19NO4","yes","no"
"20","35ppt0C","Exp_Ambient",5.68666666666667e-06,4.03353305183333,"3OC8-HSL †","C12H19NO4","yes","no"
"21","50ppt-3C","Exp_Frozen",1.024e-08,3.98563384757333,"3OC8-HSL †","C12H19NO4","yes","no"
"22","Hero1","Melted_hero",6.28e-06,1.34416321036667,"3OC8-HSL †","C12H19NO4","yes","no"
"23","StaB1","SW_Station B1",4.552e-06,3.53316924234,"3OC8-HSL †","C12H19NO4","yes","no"
"24","StaB2","SW_Station B2",2.72666666666667e-06,3.01257189273333,"3OC8-HSL †","C12H19NO4","yes","no"
"25","StaB3","SW_Station B3",6.76333333333333e-07,2.55934740726667,"3OC8-HSL †","C12H19NO4","yes","no"
"26","StaB4","SW_Station B4",7.74e-09,3.64243740004,"3OC8-HSL †","C12H19NO4","yes","no"
"27","StaB5","SW_Station B5",5.68333333333333e-06,3.12584895483333,"3OC8-HSL †","C12H19NO4","yes","no"
"28","20ppt3C","Exp_Melted",5.88e-06,2.48661013953333,"3OHC12-HSL †","C16H29NO4","yes","no"
"29","35ppt0C","Exp_Ambient",1.24933333333333e-05,4.03353305183333,"3OHC12-HSL †","C16H29NO4","yes","no"
"30","50ppt-3C","Exp_Frozen",1.79666666666667e-05,3.98563384757333,"3OHC12-HSL †","C16H29NO4","yes","no"
"31","Hero1","Melted_hero",6.02e-05,1.34416321036667,"3OHC12-HSL †","C16H29NO4","yes","no"
"32","StaB1","SW_Station B1",3.228e-05,3.53316924234,"3OHC12-HSL †","C16H29NO4","yes","no"
"33","StaB2","SW_Station B2",1.67333333333333e-05,3.01257189273333,"3OHC12-HSL †","C16H29NO4","yes","no"
"34","StaB3","SW_Station B3",1.19e-05,2.55934740726667,"3OHC12-HSL †","C16H29NO4","yes","no"
"35","StaB4","SW_Station B4",1.42333333333333e-05,3.64243740004,"3OHC12-HSL †","C16H29NO4","yes","no"
"36","StaB5","SW_Station B5",1.36e-05,3.12584895483333,"3OHC12-HSL †","C16H29NO4","yes","no"
"37","20ppt3C","Exp_Melted",0.000624666666666667,2.48661013953333,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"38","35ppt0C","Exp_Ambient",0.00242666666666667,4.03353305183333,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"39","50ppt-3C","Exp_Frozen",0.00517666666666667,3.98563384757333,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"40","Hero1","Melted_hero",0.0119366666666667,1.34416321036667,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"41","StaB1","SW_Station B1",0.00626,3.53316924234,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"42","StaB2","SW_Station B2",0.00343333333333333,3.01257189273333,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"43","StaB3","SW_Station B3",0.00205333333333333,2.55934740726667,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"44","StaB4","SW_Station B4",0.00605666666666667,3.64243740004,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
"45","StaB5","SW_Station B5",0.00342333333333333,3.12584895483333,"4-Hydroxyisoleucine †","C6H13NO3","yes","no"
